Community,Person ID,Person Name,Private?,Deleted?,Friends Count,Friends_IDS,Delta Friends,Followers Count,Statuses Count,# Tweets,Delta Tweets,# Retweets stored in DB,# Retweets reported by Twitter,Delta Retweets
archaeology,1797,archeology101,false,false,1846,1846,0,2758,4382,3199,1,277,233.0,44.0
archaeology,16269,iskra_kultur,false,false,1444,1444,0,1226,907,894,13,780,52.0,728.0
archaeology,16371,AmericanArchaeo,false,false,791,791,0,742,510,507,3,59,53.0,6.0
archaeology,16338,ArchaeoPub,false,false,432,432,0,726,203,205,-2,45,36.0,9.0
archaeology,16298,gabiiproject,false,false,2001,2001,0,1238,290,288,2,149,146.0,3.0
archaeology,16349,Ecomuseum,false,false,409,409,0,1196,630,638,-8,75,69.0,6.0
archaeology,16346,HeritageAction,false,false,241,241,0,2302,1253,1301,-48,1331,675.0,656.0
archaeology,16255,Alamannenmuseum,false,false,2534,2534,0,2301,3110,3130,-20,4959,353.0,4606.0
archaeology,16359,ZahiHawass,false,false,7,7,0,37329,488,485,3,1528,1199.0,329.0
archaeology,16354,c_katsari,false,false,506,506,0,1296,1210,1215,-5,1425,241.0,1184.0
archaeology,16358,BAJRjobs,false,false,127,127,0,1007,1902,1946,-44,975,693.0,282.0
archaeology,16370,archaeologyshop,false,false,83,83,0,450,5,5,0,0,0.0,0.0
archaeology,16391,carfkingston,false,false,350,350,0,511,333,340,-7,270,67.0,203.0
archaeology,16366,pauljcripps,false,false,545,545,0,589,5092,3199,1,5539,130.0,5409.0
archaeology,34888,AD79,false,false,245,245,0,843,265,266,-1,168,150.0,18.0
archaeology,34889,archfieldwork,false,false,689,689,0,858,5297,3225,-25,675,636.0,39.0
archaeology,1731,Stonehengeinfo,false,false,3979,3979,0,4110,247,247,0,209,150.0,59.0
archaeology,34890,iowaarchaeology,false,false,3,3,0,607,35,33,2,0,0.0,0.0
archaeology,16347,archaeogeek,false,false,123,123,0,687,1227,1238,-11,49766,62.0,49704.0
archaeology,16348,qmackie,false,false,437,437,0,232,329,328,1,219,53.0,166.0
archaeology,16376,archaeannie,false,false,121,121,0,344,240,238,2,1644,2.0,1642.0
archaeology,34891,diomc2,false,false,70,70,0,665,4,6,-2,0,0.0,0.0
archaeology,16320,PaulBelford,false,false,198,198,0,835,766,781,-15,1842,60.0,1782.0
archaeology,16355,SHA_org,false,false,479,479,0,1397,721,744,-23,546,445.0,101.0
archaeology,16388,ShovelBums,false,false,563,563,0,725,312,313,-1,34,27.0,7.0
archaeology,16274,IshtarsGate,false,false,272,272,0,1516,11431,3207,-7,39769,1999.0,37770.0
archaeology,16357,MickMorrison,false,false,305,305,0,647,2825,2869,-44,23020,403.0,22617.0
archaeology,16367,SAAorg,false,false,16,16,0,744,184,191,-7,209,194.0,15.0
archaeology,34892,ADS_Update,false,false,360,360,0,828,148,150,-2,309,290.0,19.0
archaeology,16365,ArchProf,false,false,21,21,0,332,51,51,0,2,1.0,1.0
archaeology,34893,pennmuseum,false,false,424,424,0,3623,2439,2447,-8,3693,726.0,2967.0
archaeology,39432,ManeyArchaeo,false,false,1181,1181,0,833,306,304,2,278,195.0,83.0
archaeology,16292,YorksArch,false,false,357,357,0,1502,2131,2155,-24,1636,617.0,1019.0
archaeology,16373,cornwallarch,false,false,29,29,0,810,17,18,-1,10,10.0,0.0
archaeology,39433,NPSArcheology,false,false,507,507,0,2453,611,610,1,879,523.0,356.0
archaeology,39434,lynnegoldstein,false,false,422,422,0,665,10620,3214,-14,11570,95.0,11475.0
archaeology,39438,MarlonBP,false,false,1276,1276,0,488,674,670,4,27,19.0,8.0
java,12930,java,false,false,63,63,0,51160,1815,1924,-109,30399,13061.0,17338.0
java,12931,joshbloch,false,false,94,94,0,14371,894,919,-25,53355,5163.0,48192.0
java,12932,JavaPerformance,false,false,35,35,0,8937,1233,1234,-1,479,425.0,54.0
java,12933,crazybob,false,false,378,378,0,13040,5385,3220,-20,104914,2312.0,102602.0
java,12934,emmanuelbernard,false,false,201,201,0,2899,4445,3206,-6,68958,1490.0,67468.0
java,12935,JBossNews,false,false,1436,1436,0,6953,1480,1499,-19,2062,1287.0,775.0
java,12936,4java,false,false,7,7,0,14676,480,479,1,147,92.0,55.0
java,12937,AdamBien,false,false,63,63,0,5719,4076,3209,-9,20551,3694.0,16857.0
java,12939,OpenJDK,false,false,0,0,0,4983,773,801,-28,5056,1494.0,3562.0
java,12938,agoncal,false,false,306,306,0,2981,2671,2687,-16,8434,1265.0,7169.0
java,12940,springrod,false,false,149,149,0,8963,1281,1315,-34,5772,1102.0,4670.0
java,12941,SpringSource,false,false,253,253,0,12939,910,924,-14,7186,5665.0,1521.0
java,12942,mreinhold,false,false,86,86,0,3637,260,270,-10,3266,2000.0,1266.0
java,12943,arungupta,false,false,223,223,0,4410,13041,3247,-47,9816,1815.0,8001.0
java,12944,mraible,false,false,277,277,0,4461,6317,3243,-43,29359,2203.0,27156.0
java,12945,javafx4you,false,false,95,95,0,2836,2382,2555,-173,5739,2158.0,3581.0
java,12946,glaforge,false,false,206,206,0,4836,14197,3243,-43,188996,1714.0,187282.0
java,12947,glassfish,false,false,25,25,0,5184,2166,2193,-27,4510,3657.0,853.0
java,12948,JavaOneConf,false,false,3191,3191,0,8537,1433,1455,-22,1919,1053.0,866.0
java,12951,javacert,false,false,169,169,0,7651,194,205,-11,742,489.0,253.0
java,12949,gafter,false,false,137,137,0,2852,76,75,1,259,112.0,147.0
java,12950,javaposse,false,false,5,5,0,6657,186,184,2,11450,168.0,11282.0
java,12952,puredanger,false,false,5497,5497,0,5291,10033,3214,-14,35846,2897.0,32949.0
java,12953,vogella,false,false,168,168,0,10377,9054,3207,-7,13291,2424.0,10867.0
java,12954,netbeans,false,false,228,228,0,13726,970,998,-28,5934,4483.0,1451.0
java,12957,jstrachan,false,false,285,285,0,2867,2892,2918,-26,73557,1239.0,72318.0
java,12956,wakaleo,false,false,1105,1105,0,1812,4175,3239,-39,30900,2032.0,28868.0
java,12955,cbeust,false,false,34,34,0,3404,1932,1942,-10,3889,3217.0,672.0
java,12958,aheritier,false,false,1189,1189,0,1327,17256,3208,-8,54004,757.0,53247.0
java,12959,cquinn,false,false,62,62,0,2539,827,847,-20,28401,495.0,27906.0
java,12960,DZone,false,false,14,14,0,13870,16967,3200,0,9084,8780.0,304.0
java,12961,dickwall,false,false,290,290,0,3884,1678,1683,-5,892,524.0,368.0
java,12962,playframework,false,false,18,18,0,5411,912,925,-13,31072,1985.0,29087.0
java,12964,nmartignole,false,false,260,260,0,1991,11222,3218,-18,55778,2047.0,53731.0
java,12963,DidierGirard,false,false,553,553,0,1681,3984,3214,-14,14672,2366.0,12306.0
java,12965,alexismp,false,false,189,189,0,1863,6890,3227,-27,45667,1092.0,44575.0
java,12966,BrianGoetz,false,false,37,37,0,2522,52,65,-13,1056,325.0,731.0
java,12967,Devoxx,false,false,3,3,0,3446,684,699,-15,2993,2647.0,346.0
java,12969,JavaFXpert,false,false,902,902,0,2411,2056,2170,-114,18825,469.0,18356.0
java,12970,jvanzyl,false,false,130,130,0,2168,4281,3221,-21,16947,2196.0,14751.0
java,12968,jodastephen,false,false,30,30,0,1545,633,646,-13,3049,1586.0,1463.0
java,12971,grailsframework,false,false,13,13,0,6576,283,289,-6,3041,2227.0,814.0
java,12972,jboner,false,false,313,313,0,4610,13512,3207,-7,68186,2089.0,66097.0
java,12973,dhanji,false,false,173,173,0,4097,9235,3233,-33,99233,1707.0,97526.0
java,12974,TheASF,false,false,1,1,0,9977,313,320,-7,3222,2717.0,505.0
java,12975,sunmicrosystems,false,false,8790,8790,0,16084,556,556,0,107,84.0,23.0
java,12976,intellijidea,false,false,8,8,0,7207,883,923,-40,6183,4456.0,1727.0
java,12977,kohsukekawa,false,false,131,131,0,3564,2633,2711,-78,18442,4016.0,14426.0
java,12978,MathildeLemee,false,false,199,199,0,870,1818,1869,-51,16964,602.0,16362.0
java,12979,adriancolyer,false,false,84,84,0,2451,741,740,1,1230,359.0,871.0
java,12980,JavaTune,false,false,19,19,0,3489,248,248,0,86,41.0,45.0
java,12981,robilad,false,false,1331,1331,0,1356,5376,3211,-11,15965,1852.0,14113.0
