Project,Community,Person_ID,Place_on_list,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,advertising,modernista,63,0.59,0.34,0.25,34.0,25.0,0.571428571429,0.00813971672823,0.372093023256,0.161616161616,0.040404040404,0.121212121212,0.472837831047,0.00272259046647,0.142857142857,2.25,10.0,26.0,0.030612244898,0.0204081632653,6.0,2.0,8.0,5.0
584,advertising,copyranter,90,0.11,0.11,0.0,11.0,0,0.0,0.00320933590309,0.0,0.0707070707071,0.0505050505051,0.020202020202,0.369807019612,0.00251649913993,0.166666666667,1.71428571429,10.0,2.0,0.030612244898,0.0,604.0,0,616.0,1.0
584,advertising,RGA,17,0.99,0.61,0.38,61.0,38.0,0.617283950617,0.0146795974662,0.434782608696,0.414141414141,0.282828282828,0.131313131313,0.465884333531,0.01830699201,0.28125,3.87804878049,108.0,51.0,0.0510204081633,0.0204081632653,7.0,5.0,37.0,8.0
584,advertising,creativitymag,11,1.02,0.59,0.43,59.0,43.0,0.636942675159,0.0147441352233,0.545454545455,0.343434343434,0.282828282828,0.0606060606061,0.406155572822,0.0759153232581,0.133333333333,4.44117647059,138.0,13.0,0.112244897959,0.0,79.0,0,88.0,0
584,advertising,TAXICanada,80,0.43,0.18,0.25,18.0,25.0,0.571428571429,0.0047359843626,0.30303030303,0.171717171717,0.040404040404,0.131313131313,0.477589970052,0.00201422994348,0.0625,1.52941176471,8.0,18.0,0.0408163265306,0.0,20.0,0,24.0,1.0
584,advertising,4As,32,0.79,0.41,0.38,41.0,38.0,0.617283950617,0.00907895476512,0.549019607843,0.383838383838,0.151515151515,0.232323232323,0.53393485416,0.00630209078412,0.310344827586,11.1315789474,197.0,226.0,0.112244897959,0.0204081632653,46.0,4.0,70.0,5.0
584,advertising,bigspaceship,29,1.05,0.57,0.48,57.0,48.0,0.657894736842,0.015170639632,0.521739130435,0.434343434343,0.222222222222,0.212121212121,0.510969914196,0.0196334349834,0.387096774194,4.83720930233,59.0,149.0,0.0408163265306,0.0714285714286,4.0,9.0,32.0,19.0
584,advertising,BBHLabs,19,1.25,0.62,0.63,62.0,63.0,0.729927007299,0.0152263304228,0.712328767123,0.767676767677,0.343434343434,0.424242424242,0.597738390191,0.0498544785911,0.433962264151,8.80263157895,239.0,430.0,0.204081632653,0.0,85.0,0,160.0,2.0
584,advertising,BrandFreak,62,0.47,0.26,0.21,26.0,21.0,0.558659217877,0.00698242582356,0.740740740741,0.0909090909091,0.0606060606061,0.030303030303,0.392728942316,0.00357570833257,0.125,3.33333333333,25.0,5.0,0.0714285714286,0.0,48.0,0,61.0,0
584,advertising,eproulx,72,1.13,0.41,0.72,41.0,72.0,0.78125,0.0108887473026,0.527027027027,0.20202020202,0.131313131313,0.0707070707071,0.437974212168,0.0095626646079,0.428571428571,3.35,43.0,24.0,0.0204081632653,0.0816326530612,3.0,12.0,22.0,50.0
