community name,# lists,total members on lists,# members with threshold 1000,# members with threshold 100,# members with threshold 10,#listings 1st member,# listings for 50th member,# listings for 100th member,# listings for 200th member,# listings for 1000th member
mathematics,121,1283,0,0,7,18,3,2,1,1
anthropology,592,1300,0,0,37,51,9,6,3,1
collectibles,58,1043,0,0,0,8,3,2,1,1
magician,225,886,0,0,3,14,5,3,2,
drama,16,728,0,0,0,4,1,1,1,
hacking,51,1068,0,0,2,14,3,2,1,1
biology,99,1440,0,0,7,16,4,3,2,1
marriage,324,1050,0,0,18,27,6,4,2,1
nursing,531,2407,0,0,41,39,10,7,5,1
mobilephones,2,146,0,0,0,2,1,1,,
activism,283,10173,0,0,51,32,11,7,5,2
climbing,301,2410,0,0,37,56,9,6,4,1
ipad,123,2823,0,0,7,48,6,5,5,1
pharma,1656,5722,0,0,153,96,28,16,9,2
reporter,184,7501,0,0,15,27,7,6,4,2
storage,923,3758,0,0,49,46,10,7,4,1
physics,733,3564,0,1,79,145,15,9,6,1
pregnancy,224,1747,0,0,7,30,5,4,2,1
democrat,73,1629,0,0,16,18,6,3,2,1
classicalmusic,124,1746,0,0,0,9,4,3,2,1
banking,133,1820,0,0,11,29,5,3,2,1
hollywood,95,3280,0,0,29,20,9,6,4,1
homeschool,1377,3698,0,0,167,81,20,14,9,2
dining,68,3411,0,0,0,8,3,2,2,1
genealogy,1165,1977,0,0,127,83,19,12,7,1
agriculture,447,4215,0,0,22,40,8,6,4,1
piano,49,765,0,0,0,6,2,2,1,
buddhism,907,2882,0,0,59,71,12,8,6,1
realitytv,105,1404,0,0,0,9,3,3,2,1
mentalhealth,296,1946,0,0,12,19,7,5,3,1
toys,399,2083,0,0,37,35,10,6,3,1
climatechange,66,798,0,0,1,11,2,2,1,
documentary,194,1252,0,0,11,18,6,4,2,1
islam,532,3228,0,1,38,108,9,6,4,1
employment,156,2124,0,0,2,15,4,3,2,1
boating,150,1237,0,0,1,11,3,2,1,1
hunting,465,2504,0,0,34,24,9,6,4,1
cancer,1568,6781,0,1,251,105,28,20,12,3
fantasy,396,5763,0,1,113,105,20,12,7,2
gambling,172,956,0,0,1,15,4,3,2,
theater,765,6947,0,0,111,51,15,11,7,2
liberal,211,5155,0,0,13,21,6,5,4,2
multimedia,184,2802,0,0,19,46,6,4,2,1
jewish,548,2333,0,0,32,36,9,6,4,1
romance,238,2348,0,0,14,22,7,5,3,1
teaching,87,3472,0,0,1,13,5,3,2,1
jokes,101,1347,0,0,6,22,3,2,2,1
weather,1936,7660,0,9,197,474,34,18,10,3
engineering,231,3547,0,0,11,22,6,4,3,1
legal,955,10934,0,0,237,83,25,17,12,4
baking,164,2195,0,0,9,20,4,3,2,1
newspaper,179,3704,0,0,9,32,5,4,3,1
attorney,606,3434,0,0,16,16,8,7,6,1
rugby,1412,5948,0,6,391,160,48,30,20,4
aviation,1574,5224,0,1,204,101,25,18,11,3
wrestling,2237,7538,0,94,507,415,179,96,45,5
composer,108,3150,0,0,11,15,7,5,3,1
electronicmusic,26,1099,0,0,0,4,2,2,1,1
greenliving,36,522,0,0,0,5,2,1,1,
meditation,340,2448,0,0,16,21,8,7,3,1
highered,612,6305,0,0,104,47,16,11,7,2
peace,207,5385,0,0,77,50,16,9,5,1
horror,1025,4166,0,0,117,93,20,12,7,2
philanthropy,791,5310,0,1,101,124,17,11,6,2
racing,1691,7508,0,4,507,163,52,37,23,5
chef,1407,13349,0,5,284,158,37,23,14,4
