Person ID,Person Name,Private?,Statuses Count,Number of Tweets,Number of Retweets,Retweet Count,Friends Count,Friends_IDS,Followers Count
1461,slushpuppy777,false,2751,2699,168427,1341827,86,86,3612
1457,dandougherty,false,1341,1339,168469,1376871,3327,3327,3067
1462,chicagodoree,true,1724,0,168469,1376871,1558,0,668
1466,JustTweets,false,34790,3199,169227,1381418,77294,0,75329
1464,lesserdevil,false,7393,3198,169244,1381562,705,705,632
1469,badbadpoetcom,false,13,13,169244,1381562,22,22,13
1467,lacorbeau,false,29892,3199,169448,1382456,1632,1632,2912
1465,damnyo4000,true,26953,0,169448,1382456,1253,0,706
1468,Mandahl,false,743,735,169459,1399162,822,822,271
1470,AMidsummerNight,false,365,367,169658,1399649,1545,1545,1291
1656,HistoryChannel,false,15056,600,4262,5016,15898,0,214373
1707,HistoryToday,false,3452,3200,12226,14143,1034,1034,16615
1659,Historyday,false,3695,3200,42133,52567,36145,0,31534
1675,history_geek,false,13701,3113,45127,56462,1149,1149,11876
1692,history_book,false,49085,3200,45504,56866,2,2,7169
1716,TheHistoryPress,false,1902,1920,47449,62365,381,381,8278
1670,WWIIToday,false,5950,3197,52957,69429,10327,0,16515
1749,Medievalists,false,7814,3197,60548,88398,499,499,7855
1752,historytweeter,false,3776,3200,68236,97741,0,0,21681
1751,HistoryExtra,false,2465,2473,74606,106587,1937,1937,20420
1724,CapitolHistory,false,692,696,75599,107880,935,935,5001
1755,PocketHistory,false,2180,2192,80877,113725,28980,0,28992
1754,historynetwork,false,772,768,81046,117871,313,313,3354
1753,amhistorymuseum,false,12742,3200,104139,145705,2321,2321,31912
1709,ArchaeologyDN,false,6485,3200,108112,150277,2284,2284,8202
1684,NYHistory,false,3655,3199,115174,158504,5333,5333,14586
1747,HouseHistorian,false,16841,3200,115583,159248,1874,1874,4800
1756,historyfaculty,false,1683,1678,115945,161398,4581,4581,6456
1702,dancohen,false,10819,3200,120108,166560,354,354,7318
1719,historyinanhour,false,3782,3198,121632,177534,356,356,5106
1757,HistoryTimes,false,344,344,121666,177572,2378,2378,3571
1758,TimesArchive,false,1180,1178,123030,185682,1079,1079,5046
1759,britishmuseum,false,2502,2465,133476,198963,601,601,87989
1760,greathistory_,false,951,948,133529,199019,122,122,993
1763,ihr_history,false,2795,2804,137140,205311,386,386,5538
1762,MedievalWorld,false,1907,1904,138176,216756,811,811,4173
1761,timelines,false,5891,3198,139095,219163,1156,1156,2491
1698,UkNatArchives,false,1178,1191,142123,223553,151,151,11522
1766,TheHistoryBrew,false,204,203,143602,225236,18945,0,19715
1764,HistoryOfAll,false,4466,3199,144040,231509,207,207,1513
