wedding,airlines_aviation,1.0
wedding,fantasy,1.0
wedding,weather,1.0
wedding,radio,1.0
wedding,publishing_literature,11.0
wedding,skateboarding,1.0
wedding,pregnancy,8.0
wedding,liberal,1.0
wedding,lawyer_legal,2.0
wedding,sustainability_ecology,6.0
wedding,insurance,1.0
wedding,developer,1.0
wedding,management,1.0
wedding,cycling,1.0
wedding,author,1.0
wedding,tennis,2.0
wedding,storage,1.0
wedding,writing,1.0
wedding,humanrights_activism_justice,1.0
wedding,buddhism,1.0
wedding,animation,1.0
wedding,exercise_fitness,3.0
wedding,gambling,2.0
wedding,filmfestival,2.0
wedding,dating,9.0
wedding,restaurant_dining,2.0
wedding,gaming,1.0
wedding,marriage,64.0
wedding,philosophy,4.0
wedding,reporter,5.0
wedding,ceo,1.0
wedding,marketing,7.0
wedding,photography,57.0
wedding,innovation,5.0
wedding,musician_singer,6.0
wedding,director,1.0
wedding,parenting,7.0
wedding,food_chef,17.0
wedding,surfing,1.0
wedding,baseball,3.0
wedding,drums,2.0
wedding,publicrelations,1.0
wedding,charity_philanthropy,6.0
wedding,realitytv,40.0
wedding,screenwriter,3.0
wedding,comedy_funny,8.0
wedding,beauty_fashion_shopping,56.0
wedding,baking,105.0
wedding,tvshows_drama_actor_hollywood,14.0
wedding,blogs,6.0
wedding,recipes_cooking,18.0
wedding,rapper,1.0
wedding,democrat,1.0
wedding,jokes,3.0
wedding,magazine,55.0
wedding,tech,9.0
wedding,advertising,5.0
wedding,newspaper,3.0
wedding,hospitality,20.0
wedding,lesbian,6.0
wedding,poverty,3.0
wedding,vegetarian,5.0
wedding,nature,2.0
wedding,wine,4.0
etsy_handmade,dance,1.0
etsy_handmade,radio,2.0
etsy_handmade,fishing,1.0
etsy_handmade,meditation,3.0
etsy_handmade,children,11.0
etsy_handmade,developer,1.0
etsy_handmade,climatechange,1.0
etsy_handmade,writing,1.0
etsy_handmade,humanrights_activism_justice,5.0
etsy_handmade,teaching,5.0
etsy_handmade,ceo,7.0
etsy_handmade,photography,24.0
etsy_handmade,jazz,1.0
etsy_handmade,sport_football,1.0
etsy_handmade,investor,5.0
etsy_handmade,literacy,2.0
etsy_handmade,comedy_funny,82.0
etsy_handmade,baking,9.0
etsy_handmade,rapper,1.0
etsy_handmade,democrat,1.0
etsy_handmade,jokes,9.0
etsy_handmade,architecture,1.0
etsy_handmade,gardening,8.0
etsy_handmade,branding,6.0
etsy_handmade,politics_news,19.0
etsy_handmade,publishing_literature,4.0
etsy_handmade,skateboarding,2.0
etsy_handmade,banking,1.0
etsy_handmade,multimedia,4.0
etsy_handmade,innovation,5.0
etsy_handmade,dating,1.0
etsy_handmade,biology,1.0
etsy_handmade,nature,39.0
etsy_handmade,marketing,8.0
etsy_handmade,guitar,2.0
etsy_handmade,management,1.0
etsy_handmade,baseball,1.0
etsy_handmade,realitytv,1.0
etsy_handmade,vegetarian,2.0
etsy_handmade,food_chef,10.0
etsy_handmade,magazine,12.0
etsy_handmade,advertising,3.0
etsy_handmade,documentary,2.0
etsy_handmade,psychology_mentalhealth,3.0
etsy_handmade,airlines_aviation,1.0
etsy_handmade,weather,37.0
etsy_handmade,composer,2.0
etsy_handmade,toys,2.0
etsy_handmade,pregnancy,2.0
etsy_handmade,basketball,5.0
etsy_handmade,lesbian,2.0
etsy_handmade,beer,2.0
etsy_handmade,exercise_fitness,19.0
etsy_handmade,nutrition,4.0
etsy_handmade,healthcare_medicine,5.0
etsy_handmade,army_military_veteran,1.0
etsy_handmade,charity_philanthropy,6.0
etsy_handmade,ipad,1.0
etsy_handmade,beauty_fashion_shopping,14.0
etsy_handmade,genealogy,2.0
etsy_handmade,comics,9.0
etsy_handmade,recipes_cooking,5.0
etsy_handmade,newspaper,3.0
etsy_handmade,realestate,3.0
etsy_handmade,history,17.0
etsy_handmade,astronomy_physics,21.0
etsy_handmade,liberal,5.0
etsy_handmade,nursing,1.0
etsy_handmade,cinema,2.0
etsy_handmade,outdoors_hiking,4.0
etsy_handmade,yoga,7.0
etsy_handmade,author,8.0
etsy_handmade,homeschool_school,34.0
etsy_handmade,peace,3.0
etsy_handmade,romance,9.0
etsy_handmade,buddhism,5.0
etsy_handmade,finance_economics,2.0
etsy_handmade,horror,5.0
etsy_handmade,gaming,2.0
etsy_handmade,musician_singer,13.0
etsy_handmade,director,26.0
etsy_handmade,parenting,7.0
etsy_handmade,running,1.0
etsy_handmade,geography,1.0
etsy_handmade,magician,3.0
etsy_handmade,screenwriter,3.0
etsy_handmade,surfing,1.0
etsy_handmade,tvshows_drama_actor_hollywood,51.0
etsy_handmade,blogs,6.0
etsy_handmade,youtube,1.0
etsy_handmade,career_employment,2.0
etsy_handmade,tech,9.0
etsy_handmade,chemistry,2.0
etsy_handmade,wine,1.0
radio,meditation,11.0
radio,children,5.0
radio,geography,5.0
radio,linguistics,10.0
radio,humanrights_activism_justice,141.0
radio,html,4.0
radio,hockey,17.0
radio,filmfestival,3.0
radio,automotive,7.0
radio,photography,3.0
radio,sport_football,42.0
radio,literacy,10.0
radio,comedy_funny,114.0
radio,mobile_smartphone,12.0
radio,rapper,55.0
radio,democrat,4.0
radio,jokes,8.0
radio,architecture,2.0
radio,energy,4.0
radio,politics_news,395.0
radio,mac_iphone,2.0
radio,college,8.0
radio,publishing_literature,19.0
radio,skateboarding,6.0
radio,agriculture,2.0
radio,multimedia,3.0
radio,reporter,89.0
radio,guitar,8.0
radio,management,4.0
radio,baseball,105.0
radio,drums,23.0
radio,realitytv,106.0
radio,rugby,2.0
radio,theatre_theater,9.0
radio,food_chef,24.0
radio,magazine,39.0
radio,advertising,8.0
radio,hospitality,15.0
radio,documentary,24.0
radio,swimming,7.0
radio,cancer,12.0
radio,airlines_aviation,4.0
radio,fantasy,11.0
radio,weather,7.0
radio,basketball,6.0
radio,cycling,4.0
radio,housing,12.0
radio,tennis,41.0
radio,exercise_fitness,13.0
radio,restaurant_dining,15.0
radio,nutrition,4.0
radio,jewish,18.0
radio,wrestling,37.0
radio,healthcare_medicine,2.0
radio,army_military_veteran,4.0
radio,charity_philanthropy,75.0
radio,ipad,3.0
radio,beauty_fashion_shopping,6.0
radio,comics,12.0
radio,recipes_cooking,19.0
radio,newspaper,6.0
radio,hacking,2.0
radio,realestate,2.0
radio,history,15.0
radio,astronomy_physics,7.0
radio,liberal,16.0
radio,cinema,13.0
radio,nature,9.0
radio,magician,9.0
radio,poverty,22.0
radio,author,21.0
radio,peace,4.0
radio,animation,17.0
radio,finance_economics,13.0
radio,publicrelations,4.0
radio,gaming,9.0
radio,poker,11.0
radio,musician_singer,111.0
radio,director,35.0
radio,parenting,7.0
radio,running,6.0
radio,yoga,11.0
radio,php,2.0
radio,lesbian,5.0
radio,surfing,10.0
radio,tvshows_drama_actor_hollywood,70.0
radio,blogs,58.0
radio,youtube,26.0
radio,tech,45.0
motorcycle,astronomy_physics,4.0
motorcycle,liberal,2.0
motorcycle,outdoors_hiking,6.0
motorcycle,cinema,6.0
motorcycle,geography,1.0
motorcycle,branding,1.0
motorcycle,energy,1.0
motorcycle,politics_news,12.0
motorcycle,mac_iphone,1.0
motorcycle,poetry,3.0
motorcycle,engineering,3.0
motorcycle,meditation,1.0
motorcycle,sustainability_ecology,4.0
motorcycle,insurance,2.0
motorcycle,astrology,1.0
motorcycle,linguistics,2.0
motorcycle,basketball,3.0
motorcycle,yoga,1.0
motorcycle,mobile_smartphone,1.0
motorcycle,author,6.0
motorcycle,homeschool_school,1.0
motorcycle,housing,1.0
motorcycle,multimedia,1.0
motorcycle,innovation,1.0
motorcycle,writing,5.0
motorcycle,jewish,1.0
motorcycle,religion,1.0
motorcycle,buddhism,7.0
motorcycle,finance_economics,1.0
motorcycle,exercise_fitness,1.0
motorcycle,developer,2.0
motorcycle,gambling,14.0
motorcycle,cycling,34.0
motorcycle,racing,81.0
motorcycle,photography,15.0
motorcycle,restaurant_dining,2.0
motorcycle,advertising,8.0
motorcycle,ipad,3.0
motorcycle,philosophy,1.0
motorcycle,reporter,2.0
motorcycle,ceo,7.0
motorcycle,automotive,40.0
motorcycle,horror,7.0
motorcycle,healthcare_medicine,1.0
motorcycle,guitar,1.0
motorcycle,musician_singer,5.0
motorcycle,army_military_veteran,4.0
motorcycle,sport_football,5.0
motorcycle,parenting,1.0
motorcycle,food_chef,7.0
motorcycle,humanrights_activism_justice,29.0
motorcycle,publicrelations,1.0
motorcycle,charity_philanthropy,14.0
motorcycle,realitytv,3.0
motorcycle,marketing,6.0
motorcycle,screenwriter,1.0
motorcycle,literacy,1.0
