golf,liberal,24.0
golf,cancer,70.0
golf,youtube,72.0
golf,energy,25.0
golf,skiing,99.0
golf,wrestling,18.0
golf,poker,24.0
golf,airlines_aviation,33.0
golf,politics_news,80.0
golf,weather,46.0
golf,radio,34.0
golf,fishing,12.0
golf,baking,1.0
golf,skateboarding,130.0
golf,pregnancy,1.0
golf,magazine,28.0
golf,lawyer_legal,13.0
golf,children,58.0
golf,astrology,6.0
golf,ipad,18.0
golf,basketball,217.0
golf,cycling,22.0
golf,hunting,18.0
golf,author,8.0
golf,tennis,420.0
golf,marketing,6.0
golf,beer,3.0
golf,insurance,44.0
golf,religion,4.0
golf,buddhism,3.0
golf,animation,1.0
golf,finance_economics,36.0
golf,hockey,92.0
golf,jokes,9.0
golf,exercise_fitness,12.0
golf,blogs,10.0
golf,gambling,48.0
golf,racing,426.0
golf,restaurant_dining,34.0
golf,gaming,52.0
golf,hospitality,23.0
golf,reporter,115.0
golf,ceo,57.0
golf,automotive,30.0
golf,photography,2.0
golf,innovation,4.0
golf,motorcycle,21.0
golf,musician_singer,99.0
golf,sport_football,484.0
golf,running,18.0
golf,management,4.0
golf,baseball,77.0
golf,humanrights_activism_justice,17.0
golf,drums,6.0
golf,wedding,1.0
golf,charity_philanthropy,70.0
golf,realitytv,53.0
golf,investor,12.0
golf,lesbian,4.0
golf,mobile_smartphone,62.0
golf,comedy_funny,40.0
golf,publicrelations,46.0
golf,beauty_fashion_shopping,12.0
golf,rugby,506.0
golf,tvshows_drama_actor_hollywood,32.0
golf,sailing,7.0
golf,university,105.0
golf,rapper,11.0
golf,democrat,24.0
golf,surfing,91.0
golf,food_chef,47.0
golf,banking,38.0
golf,trading,35.0
golf,tech,59.0
golf,advertising,6.0
golf,wine,12.0
golf,newspaper,25.0
golf,college,40.0
golf,hacking,1.0
golf,history,3.0
golf,documentary,21.0
golf,html,1.0
golf,nature,8.0
golf,swimming,164.0
dance,golf,3.0
dance,wedding,6.0
dance,etsy_handmade,53.0
dance,radio,148.0
dance,skiing,34.0
dance,meditation,4.0
dance,children,26.0
dance,astrology,4.0
dance,climatechange,2.0
dance,humanrights_activism_justice,13.0
dance,hockey,1.0
dance,teaching,5.0
dance,filmfestival,15.0
dance,ceo,12.0
dance,automotive,6.0
dance,photography,5.0
dance,jazz,7.0
dance,sport_football,71.0
dance,publicrelations,11.0
dance,investor,6.0
dance,comedy_funny,167.0
dance,dating,12.0
dance,baking,3.0
dance,mobile_smartphone,48.0
dance,university,17.0
dance,rapper,151.0
dance,democrat,7.0
dance,jokes,6.0
dance,architecture,14.0
dance,branding,16.0
dance,politics_news,257.0
dance,mac_iphone,1.0
dance,college,7.0
dance,publishing_literature,2.0
dance,skateboarding,11.0
dance,banking,1.0
dance,multimedia,1.0
dance,innovation,18.0
dance,developer,13.0
dance,racing,44.0
dance,biology,1.0
dance,nature,34.0
dance,marketing,18.0
dance,guitar,59.0
dance,management,66.0
dance,baseball,13.0
dance,drums,8.0
dance,realitytv,573.0
dance,rugby,3.0
dance,theatre_theater,551.0
dance,vegetarian,41.0
dance,running,1.0
dance,magazine,208.0
dance,hospitality,15.0
dance,documentary,31.0
dance,swimming,17.0
dance,cancer,32.0
dance,psychology_mentalhealth,103.0
dance,airlines_aviation,36.0
dance,weather,13.0
dance,composer,31.0
dance,pregnancy,2.0
dance,sustainability_ecology,4.0
dance,basketball,42.0
dance,housing,1.0
dance,tennis,5.0
dance,screenwriter,24.0
dance,exercise_fitness,80.0
dance,restaurant_dining,14.0
dance,nutrition,11.0
