160, astronomy, NASAFermiTelscp
72, baseball, BrianWilson38
72, baseball, davidortiz
72, baseball, CarlCrawford_
72, baseball, KenTremendous
72, baseball, JUS10UP10
72, baseball, TheGarfoose
72, baseball, Yankees
72, baseball, BJUPTON2
72, baseball, orlandohudson
72, baseball, Joba_62
72, baseball, HunterPence3
72, baseball, cgrand14
72, baseball, mattkemp27
72, baseball, MLBRumorCentral
72, baseball, DrewStoren
72, baseball, RedSox
72, baseball, thisisdspan
72, baseball, YankeesWFAN
72, baseball, JoeNathan36
72, baseball, Mariners
72, baseball, Coco_Crisp
48, college, slmandel
48, college, YahooForde
48, college, ESPN_SEC
48, college, schadjoe
48, college, MrCFB
48, college, bigtenconf
48, college, PeteThamelNYT
48, college, Andy_Staples
48, college, BFeldmanCBS
48, college, AP_Top25
48, college, pac12
48, college, dartmouth
48, college, Ivan_Maisel
48, college, Cornell_Univ
48, college, CollegeGameDay
48, college, Big12Conference
48, college, ESPNHomeCourt
48, college, CollegeChat
48, college, BrynMawrCollege
48, college, cbfowler
48, college, RhodesCollege
48, college, CFBLIVE
48, college, finebaum
48, college, NCStateNews
48, college, NCAA
48, college, EmoryUniversity
48, college, MattRHinton
48, college, mtholyoke
48, college, HamiltonCollege
48, college, SpelmanCollege
48, college, WheatonCollege
48, college, BucknellU
48, college, theACC
48, college, WMNews
48, college, CollegeBlogs
48, college, DanWetzel
48, college, jppalm
48, college, ESPN_BigTen
48, college, ESPN_Pac12blog
48, college, ESPN_ACC
48, college, CFTalk
170, investor, 500
171, java, caniszczyk
94, beer, TerrapinBeerCo
94, beer, CharliePapazian
94, beer, GLBC_Cleveland
94, beer, Schlafly
94, beer, thefullpint
94, beer, OdellBrewing
94, beer, hoppinfrog
94, beer, AbbeyStMartin
94, beer, sweetwaterbrew
94, beer, HeavySeasBeer
94, beer, surlybrewing
94, beer, Redhook_Brewery
94, beer, peakbrewing
94, beer, TheAbitaBeer
94, beer, Beer_Info
94, beer, MoylansBrewery
94, beer, beerevents
94, beer, ithacabeer
94, beer, BrewersAssoc
