id,at_out_rt_in R^2,p,at_in_rt_in R^2,p,at_clos_rt_in R^2,p,at_pag_rt_in R^2,p,ff_out_rt_in R^2,p,ff_in_rt_in R^2,p,ff_clos_rt_in R^2,p,ff_pag_rt_in R^2,p
143,0.242,0.016,0.643,0.000,0.223,0.027,0.349,0.000,0.059,0.563,0.707,0.000,0.087,0.389,0.654,0.000
145,0.224,0.030,0.584,0.000,0.230,0.026,0.334,0.001,0.021,0.839,0.657,0.000,0.070,0.498,0.703,0.000
149,0.417,0.000,0.638,0.000,0.369,0.000,0.121,0.229,0.271,0.006,0.594,0.000,0.095,0.343,0.415,0.000
153,0.390,0.001,0.590,0.000,0.261,0.025,0.403,0.000,0.332,0.004,0.671,0.000,0.202,0.084,0.627,0.000
155,-0.053,0.616,0.527,0.000,-0.107,0.306,0.389,0.000,-0.164,0.115,0.445,0.000,-0.082,0.433,0.677,0.000
157,0.364,0.001,0.637,0.000,0.305,0.004,0.293,0.006,0.311,0.003,0.714,0.000,0.276,0.010,0.661,0.000
158,0.578,0.000,0.327,0.010,0.503,0.000,0.168,0.196,0.506,0.000,0.431,0.000,0.350,0.005,0.424,0.001
159,0.649,0.000,0.679,0.000,0.524,0.000,0.275,0.016,0.366,0.001,0.645,0.000,0.330,0.004,0.412,0.000
160,0.092,0.384,0.489,0.000,0.132,0.209,0.504,0.000,0.085,0.416,0.721,0.000,0.095,0.367,0.627,0.000
161,0.191,0.060,0.374,0.000,0.149,0.143,0.155,0.128,-0.018,0.862,0.512,0.000,-0.083,0.417,0.447,0.000
162,0.407,0.000,0.559,0.000,0.322,0.002,0.126,0.230,0.160,0.125,0.581,0.000,0.238,0.021,0.548,0.000
163,0.172,0.140,0.671,0.000,0.101,0.389,0.562,0.000,0.163,0.160,0.698,0.000,0.161,0.164,0.689,0.000
164,0.672,0.000,0.621,0.000,0.534,0.000,0.306,0.004,0.447,0.000,0.627,0.000,0.340,0.001,0.631,0.000
165,0.478,0.000,0.640,0.000,0.346,0.000,0.343,0.001,0.280,0.005,0.652,0.000,0.231,0.022,0.170,0.093
166,0.374,0.000,0.704,0.000,0.282,0.007,0.370,0.000,0.062,0.558,0.664,0.000,-0.147,0.165,0.641,0.000
167,0.392,0.000,0.683,0.000,0.364,0.001,0.302,0.007,0.210,0.061,0.445,0.000,0.095,0.402,0.491,0.000
170,0.464,0.000,0.733,0.000,0.369,0.001,0.398,0.000,0.269,0.020,0.752,0.000,0.236,0.042,0.644,0.000
171,0.412,0.000,0.536,0.000,0.356,0.000,0.096,0.360,0.290,0.004,0.671,0.000,0.180,0.080,0.478,0.000
172,0.522,0.000,0.659,0.000,0.359,0.000,0.283,0.005,0.099,0.330,0.530,0.000,0.065,0.523,0.604,0.000
174,0.549,0.000,0.751,0.000,0.414,0.000,0.556,0.000,0.044,0.678,0.642,0.000,-0.024,0.819,0.611,0.000
175,0.513,0.000,0.629,0.000,0.421,0.000,0.493,0.000,0.387,0.000,0.695,0.000,0.318,0.001,0.688,0.000
176,0.367,0.001,0.758,0.000,0.374,0.000,0.209,0.054,0.355,0.001,0.721,0.000,0.221,0.040,0.746,0.000
177,0.347,0.000,0.402,0.000,0.284,0.005,0.162,0.112,0.330,0.001,0.591,0.000,0.266,0.008,0.575,0.000
178,0.222,0.049,0.608,0.000,0.256,0.023,0.227,0.044,-0.024,0.834,0.196,0.079,0.034,0.763,0.394,0.000
179,0.532,0.000,0.774,0.000,0.465,0.000,0.529,0.000,0.228,0.033,0.681,0.000,0.188,0.079,0.664,0.000
180,0.219,0.031,0.625,0.000,0.315,0.002,0.340,0.001,0.005,0.957,0.714,0.000,0.077,0.451,0.579,0.000
181,0.425,0.000,0.622,0.000,0.293,0.005,0.255,0.016,0.201,0.056,0.785,0.000,0.127,0.230,0.444,0.000
187,0.493,0.000,0.665,0.000,0.333,0.000,0.291,0.001,0.302,0.001,0.723,0.000,0.211,0.019,0.769,0.000
189,0.658,0.000,0.664,0.000,0.414,0.000,0.217,0.017,0.439,0.000,0.639,0.000,0.197,0.031,0.564,0.000
207,0.368,0.000,0.824,0.000,0.177,0.063,0.362,0.000,0.113,0.237,0.766,0.000,-0.014,0.885,0.692,0.000
209,0.210,0.033,0.551,0.000,0.163,0.100,0.390,0.000,0.126,0.200,0.470,0.000,0.096,0.328,0.521,0.000
211,0.736,0.000,0.680,0.000,0.441,0.000,0.241,0.012,0.552,0.000,0.778,0.000,0.340,0.000,0.703,0.000
213,0.584,0.000,0.797,0.000,0.346,0.000,0.580,0.000,0.173,0.058,0.757,0.000,0.137,0.135,0.745,0.000
217,0.163,0.110,0.730,0.000,0.101,0.324,0.549,0.000,0.101,0.319,0.633,0.000,-0.086,0.398,0.658,0.000
219,0.563,0.000,0.730,0.000,0.388,0.000,0.388,0.000,0.348,0.000,0.678,0.000,0.192,0.046,0.655,0.000
221,0.540,0.000,0.744,0.000,0.282,0.004,0.571,0.000,0.418,0.000,0.734,0.000,0.253,0.009,0.727,0.000
233,0.440,0.000,0.727,0.000,0.325,0.001,0.379,0.000,0.327,0.001,0.609,0.000,0.258,0.009,0.662,0.000
245,0.496,0.000,0.698,0.000,0.402,0.000,0.433,0.000,0.364,0.000,0.490,0.000,0.327,0.000,0.318,0.001
247,0.497,0.000,0.667,0.000,0.383,0.000,0.374,0.000,0.370,0.000,0.606,0.000,0.320,0.000,0.619,0.000
251,0.205,0.026,0.658,0.000,0.215,0.019,0.376,0.000,0.150,0.105,0.607,0.000,0.174,0.059,0.563,0.000
253,0.400,0.000,0.637,0.000,0.268,0.005,0.323,0.001,0.247,0.009,0.742,0.000,0.154,0.107,0.724,0.000
255,0.380,0.000,0.597,0.000,0.227,0.039,0.421,0.000,0.202,0.065,0.712,0.000,-0.110,0.319,0.764,0.000
257,0.700,0.000,0.692,0.000,0.494,0.000,0.326,0.000,0.439,0.000,0.619,0.000,0.335,0.000,0.114,0.227
259,0.444,0.000,0.561,0.000,0.464,0.000,0.130,0.135,0.548,0.000,0.646,0.000,0.363,0.000,0.460,0.000
261,0.589,0.000,0.664,0.000,0.450,0.000,0.389,0.000,0.055,0.564,0.624,0.000,-0.000,0.996,0.649,0.000
263,0.080,0.389,0.714,0.000,0.121,0.188,0.526,0.000,0.288,0.001,0.756,0.000,0.127,0.164,0.638,0.000
