Interest ;Deutschland;Schweiz;Addidas;Loewe;Hagebau;Deutschland;Schweiz;Addidas;Loewe;Hagebau
cycling;18;11;762;194;2;0.040268456;0.129411765;1.203791469;0.306477093;0.010204082
realestate;18;1;168;78;32;0.040268456;0.011764706;0.265402844;0.123222749;0.163265306
branding;18;11;82;68;3;0.040268456;0.129411765;0.129541864;0.107424961;0.015306122
comics;18;1;25;59;1;0.040268456;0.011764706;0.039494471;0.093206951;0.005102041
guitar;17;4;42;67;5;0.03803132;0.047058824;0.066350711;0.105845182;0.025510204
geography;16;5;28;80;10;0.035794183;0.058823529;0.044233807;0.126382306;0.051020408
climatechange;15;11;31;73;9;0.033557047;0.129411765;0.048973144;0.115323855;0.045918367
history;14;4;30;124;5;0.031319911;0.047058824;0.047393365;0.195892575;0.025510204
beer;14;#NV;12;12;1;0.031319911;#NV;0.018957346;0.018957346;0.005102041
horror;13;1;19;46;3;0.029082774;0.011764706;0.030015798;0.072669826;0.015306122
banking;13;6;24;44;5;0.029082774;0.070588235;0.037914692;0.069510269;0.025510204
publishing_literature;12;2;41;128;3;0.026845638;0.023529412;0.064770932;0.20221169;0.015306122
energy;12;32;38;95;25;0.026845638;0.376470588;0.060031596;0.150078989;0.12755102
chemistry;12;7;13;38;14;0.026845638;0.082352941;0.020537125;0.060031596;0.071428571
pharma;12;14;44;26;2;0.026845638;0.164705882;0.069510269;0.04107425;0.010204082
philosophy;11;3;47;40;5;0.024608501;0.035294118;0.074249605;0.063191153;0.025510204
jewish;11;2;12;37;#NV;0.024608501;0.023529412;0.018957346;0.058451817;#NV
vegetarian;11;#NV;57;29;2;0.024608501;#NV;0.090047393;0.045813586;0.010204082
hockey;11;21;67;11;3;0.024608501;0.247058824;0.105845182;0.017377567;0.015306122
baseball;10;4;82;9;#NV;0.022371365;0.047058824;0.129541864;0.014218009;#NV
linux_opensource;9;#NV;7;72;2;0.020134228;#NV;0.011058452;0.113744076;0.010204082
recipes_cooking;9;#NV;40;60;2;0.020134228;#NV;0.063191153;0.09478673;0.010204082
agriculture;9;1;14;14;2;0.020134228;0.011764706;0.022116904;0.022116904;0.010204082
dance;8;1;35;72;#NV;0.017897092;0.011764706;0.055292259;0.113744076;#NV
documentary;8;1;15;51;4;0.017897092;0.011764706;0.023696682;0.08056872;0.020408163
poverty;8;4;18;36;#NV;0.017897092;0.047058824;0.028436019;0.056872038;#NV
skiing;8;8;161;24;1;0.017897092;0.094117647;0.254344392;0.037914692;0.005102041
drums;8;3;21;23;1;0.017897092;0.035294118;0.033175355;0.036334913;0.005102041
psychology_mentalhealth;8;2;24;12;#NV;0.017897092;0.023529412;0.037914692;0.018957346;#NV
religion;8;#NV;16;10;1;0.017897092;#NV;0.025276461;0.015797788;0.005102041
university;7;1;25;125;#NV;0.015659955;0.011764706;0.039494471;0.197472354;#NV
teaching;7;5;36;46;7;0.015659955;0.058823529;0.056872038;0.072669826;0.035714286
storage;7;#NV;8;28;2;0.015659955;#NV;0.012638231;0.044233807;0.010204082
biology;7;3;14;22;#NV;0.015659955;0.035294118;0.022116904;0.034755134;#NV
children;7;#NV;20;21;1;0.015659955;#NV;0.031595577;0.033175355;0.005102041
writing;7;#NV;12;16;2;0.015659955;#NV;0.018957346;0.025276461;0.010204082
theatre_theater;6;1;10;149;#NV;0.013422819;0.011764706;0.015797788;0.235387046;#NV
baking;6;2;21;68;8;0.013422819;0.023529412;0.033175355;0.107424961;0.040816327
magician;6;1;19;47;2;0.013422819;0.011764706;0.030015798;0.074249605;0.010204082
sociology;6;#NV;4;9;1;0.013422819;#NV;0.006319115;0.014218009;0.005102041
screenwriter;5;#NV;27;42;2;0.011185682;#NV;0.042654028;0.066350711;0.010204082
ruby;5;#NV;6;34;#NV;0.011185682;#NV;0.009478673;0.05371248;#NV
etsy_handmade;5;1;23;30;9;0.011185682;0.011764706;0.036334913;0.047393365;0.045918367
trading;5;5;17;17;1;0.011185682;0.058823529;0.02685624;0.02685624;0.005102041
meditation;5;#NV;41;17;1;0.011185682;#NV;0.064770932;0.02685624;0.005102041
sailing;4;#NV;18;147;11;0.008948546;#NV;0.028436019;0.232227488;0.056122449
construction;4;3;5;90;21;0.008948546;0.035294118;0.007898894;0.142180095;0.107142857
multimedia;4;6;17;62;3;0.008948546;0.070588235;0.02685624;0.097946288;0.015306122
cancer;4;5;116;57;1;0.008948546;0.058823529;0.183254344;0.090047393;0.005102041
jazz;4;1;12;50;#NV;0.008948546;0.011764706;0.018957346;0.078988942;#NV
yoga;4;#NV;101;33;3;0.008948546;#NV;0.159557662;0.052132701;0.015306122
gambling;4;#NV;37;26;#NV;0.008948546;#NV;0.058451817;0.04107425;#NV
gardening;4;#NV;18;25;116;0.008948546;#NV;0.028436019;0.039494471;0.591836735
astrology;4;1;4;12;#NV;0.008948546;0.011764706;0.006319115;0.018957346;#NV
database;4;#NV;20;9;3;0.008948546;#NV;0.031595577;0.014218009;0.015306122
accounting;4;#NV;9;7;1;0.008948546;#NV;0.014218009;0.011058452;0.005102041
motorcycle;3;4;30;73;#NV;0.006711409;0.047058824;0.047393365;0.115323855;#NV
filmfestival;3;1;7;71;3;0.006711409;0.011764706;0.011058452;0.112164297;0.015306122
engineering;3;1;8;68;#NV;0.006711409;0.011764706;0.012638231;0.107424961;#NV
fishing;3;#NV;13;7;1;0.006711409;#NV;0.020537125;0.011058452;0.005102041
insurance;3;2;13;3;#NV;0.006711409;0.023529412;0.020537125;0.004739336;#NV
homeschool_school;3;#NV;9;3;#NV;0.006711409;#NV;0.014218009;0.004739336;#NV
marriage;2;#NV;14;#NV;#NV;0.004474273;#NV;0.022116904;#NV;#NV
wine;2;3;58;82;4;0.004474273;0.035294118;0.091627172;0.129541864;0.020408163
pregnancy;2;1;5;15;#NV;0.004474273;0.011764706;0.007898894;0.023696682;#NV
toys;2;#NV;4;13;3;0.004474273;#NV;0.006319115;0.020537125;0.015306122
neuroscience;2;1;11;12;#NV;0.004474273;0.011764706;0.017377567;0.018957346;#NV
literacy;2;#NV;10;10;1;0.004474273;#NV;0.015797788;0.015797788;0.005102041
