Name,Group1,Group2,Tie_number,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_volume_in,RT_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
RickieFowlerPGA,golf,dance,1.0,1,0.681592039801,0.353233830846,0.328358208955,0.0207345439284,71.0,0,66.0,0,0.36815920398,0.238805970149,0.129353233831,0.0139417036033,297.0,75.0,297.0,0,75.0,0,94.0,71.0,94.0,0,71.0,0
bencranegolf,golf,dance,1.0,1,0.238805970149,0.208955223881,0.0298507462687,2.89649642409e-05,42.0,0,6.0,0,0.0746268656716,0.0597014925373,0.0149253731343,9.06435288896e-05,31.0,3.0,31.0,0,3.0,0,31.0,10.0,31.0,0,10.0,0
I_BrandonBryant,golf,dance,1.0,1,0.293532338308,0.124378109453,0.169154228856,0.000987040391868,25.0,0,34.0,0,0.18407960199,0.089552238806,0.0945273631841,0.00096440818611,44.0,148.0,44.0,0,148.0,0,10.0,21.0,10.0,0,21.0,0
CallawayGolf,golf,dance,1.0,1,0.233830845771,0.129353233831,0.10447761194,0.00146142167197,26.0,0,21.0,0,0.0497512437811,0.0298507462687,0.0199004975124,0.000669755452431,18.0,5.0,18.0,0,5.0,0,14.0,68.0,14.0,0,68.0,0
geoffogilvy,golf,dance,1.0,1,0.47263681592,0.313432835821,0.1592039801,0.00219140967894,63.0,0,32.0,0,0.169154228856,0.109452736318,0.0597014925373,0.00220915598552,37.0,28.0,37.0,0,28.0,0,17.0,3.0,17.0,0,3.0,0
jumpdance,golf,dance,1.0,1,0.213930348259,0.129353233831,0.0845771144279,0.00211835249677,26.0,0,17.0,0,0.0796019900498,0.0398009950249,0.0398009950249,0.00036214065283,41.0,27.0,41.0,0,27.0,0,36.0,34.0,36.0,0,34.0,0
laurenfrodie,golf,dance,1.0,1,0.328358208955,0.154228855721,0.174129353234,0.00550701798205,31.0,0,34.0,1.0,0.228855721393,0.134328358209,0.0945273631841,0.002074309131,162.0,110.0,162.0,0,110.0,0,28.0,18.0,28.0,0,18.0,0
montgomeriefdn,golf,dance,1.0,1,0.199004975124,0.129353233831,0.0696517412935,0.000363994402028,26.0,0,14.0,0,0.0398009950249,0.00995024875622,0.0298507462687,0.000237312897651,2.0,6.0,2.0,0,6.0,0,8.0,4.0,8.0,0,4.0,0
MollsGrayy,golf,dance,1.0,1,0.338308457711,0.114427860697,0.223880597015,0.00128570535453,23.0,0,45.0,0,0.194029850746,0.109452736318,0.0845771144279,0.00267139563307,82.0,75.0,82.0,0,75.0,0,15.0,15.0,15.0,0,15.0,0
Oliver_Wilson,golf,dance,1.0,1,0.338308457711,0.199004975124,0.139303482587,0.0013046612474,40.0,0,28.0,0,0.174129353234,0.0746268656716,0.0995024875622,0.00636679034324,62.0,101.0,62.0,0,101.0,0,59.0,24.0,59.0,0,24.0,0
NYCDA,golf,dance,1.0,1,0.203980099502,0.129353233831,0.0746268656716,0.00258207218251,26.0,0,15.0,0,0.089552238806,0.0248756218905,0.0646766169154,0.00384634096845,41.0,26.0,41.0,0,26.0,0,12.0,9.0,12.0,0,9.0,0
si_golf,golf,dance,1.0,1,0.651741293532,0.169154228856,0.482587064677,0.00411771294334,34.0,0,97.0,0,0.189054726368,0.00497512437811,0.18407960199,0.00252286819689,2.0,164.0,2.0,0,164.0,0,49.0,73.0,49.0,0,73.0,0
ScottyCameron,golf,dance,1.0,1,0.114427860697,0.114427860697,0.0,0.0,23.0,0,0,0,0.0248756218905,0.0248756218905,0.0,0.0,23.0,0,23.0,0,0,0,0,0,0,0,0,0
taylormadegc,golf,dance,1.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0398009950249,0.0398009950249,0.0,0.0,13.0,0,13.0,0,0,0,0,0,0,0,0,0
Paige_Mackenzie,golf,dance,1.0,1,0.492537313433,0.179104477612,0.313432835821,0.00512818619599,36.0,0,63.0,0,0.26368159204,0.0945273631841,0.169154228856,0.00878559945471,61.0,101.0,61.0,0,101.0,0,19.0,29.0,19.0,0,29.0,0
TheAnnaRawson,golf,dance,1.0,1,0.427860696517,0.169154228856,0.258706467662,0.00359234102376,34.0,0,52.0,0,0.089552238806,0.0348258706468,0.0547263681592,0.00114327903686,15.0,23.0,15.0,0,23.0,0,2.0,2.0,2.0,0,2.0,0
TrevorImmelman,golf,dance,1.0,1,0.328358208955,0.238805970149,0.089552238806,0.00054801833875,48.0,0,18.0,0,0.0746268656716,0.0497512437811,0.0248756218905,0.000431692818637,17.0,9.0,17.0,0,9.0,0,18.0,2.0,18.0,0,2.0,0
sparks5678,golf,dance,1.0,1,0.089552238806,0.0696517412935,0.0199004975124,5.7905440998e-05,14.0,0,4.0,0,0.0248756218905,0.0149253731343,0.00995024875622,6.28021649641e-05,6.0,2.0,6.0,0,2.0,0,0,0,0,0,0,0
AlanShipnuck,golf,dance,1.0,1,0.557213930348,0.223880597015,0.333333333333,0.00208520415806,45.0,0,67.0,0,0.213930348259,0.109452736318,0.10447761194,0.00569185898386,72.0,44.0,72.0,0,44.0,0,48.0,106.0,48.0,0,106.0,0
TheSergioGarcia,golf,dance,1.0,1,0.203980099502,0.194029850746,0.00995024875622,5.85727252307e-05,39.0,0,2.0,0,0.0248756218905,0.0248756218905,0.0,0.0,12.0,0,12.0,0,0,0,1.0,0,1.0,0,0,0
KaylaRadomski4,golf,dance,1.0,1,0.323383084577,0.164179104478,0.1592039801,0.00114529382876,33.0,0,32.0,0,0.1592039801,0.0746268656716,0.0845771144279,0.000330330080114,29.0,33.0,29.0,0,33.0,0,7.0,7.0,7.0,0,7.0,0
themichellewie,golf,dance,1.0,1,0.28855721393,0.233830845771,0.0547263681592,0.000292390896732,47.0,0,11.0,0,0.139303482587,0.0945273631841,0.044776119403,0.00223185216413,71.0,54.0,71.0,0,54.0,0,17.0,27.0,17.0,0,27.0,0
ANNIKA59,golf,dance,1.0,1,0.492537313433,0.248756218905,0.243781094527,0.00300867898841,50.0,0,49.0,0,0.189054726368,0.134328358209,0.0547263681592,0.00556040674352,55.0,29.0,55.0,0,29.0,0,34.0,14.0,34.0,0,14.0,0
