Name,Group1,Group2,Number_between_ties,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_total_volume_in,RT_total_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
MenChocFactory,golf,theatre_theater,1.0,1,0.422885572139,0.223880597015,0.199004975124,0.00820098065519,45.0,0,40.0,0,0.0497512437811,0.0398009950249,0.00995024875622,0.000513302243804,14.0,3.0,14.0,0,3.0,0,0,8.0,0,0,8.0,0
GolfWorld1,golf,theatre_theater,1.0,1,0.417910447761,0.0796019900498,0.338308457711,0.000930938601781,16.0,0,68.0,0,0.0945273631841,0.00995024875622,0.0845771144279,0.000523145549052,2.0,28.0,2.0,0,28.0,0,5.0,138.0,5.0,0,138.0,0
suzannpettersen,golf,theatre_theater,1.0,1,0.412935323383,0.238805970149,0.174129353234,0.00126861864189,48.0,0,35.0,0,0.129353233831,0.0547263681592,0.0746268656716,0.00211119044377,48.0,64.0,48.0,0,64.0,0,15.0,15.0,15.0,0,15.0,0
roundhouseLDN,golf,theatre_theater,1.0,1,0.273631840796,0.164179104478,0.109452736318,0.000157352123553,33.0,0,22.0,0,0.0547263681592,0.0199004975124,0.0348258706468,0.0006234740889,16.0,10.0,16.0,0,10.0,0,4.0,8.0,4.0,0,8.0,0
natalie_gulbis,golf,theatre_theater,1.0,1,0.298507462687,0.228855721393,0.0696517412935,0.0200449947031,46.0,0,14.0,0,0.149253731343,0.089552238806,0.0597014925373,0.0038799717823,53.0,19.0,53.0,0,19.0,0,33.0,1.0,33.0,0,1.0,0
LCTheater,golf,theatre_theater,1.0,1,0.47263681592,0.223880597015,0.248756218905,0.00290499773069,45.0,0,50.0,0,0.10447761194,0.0497512437811,0.0547263681592,0.00382130047874,34.0,24.0,34.0,0,24.0,0,23.0,22.0,23.0,0,22.0,0
dave_pelz,golf,theatre_theater,1.0,1,0.10447761194,0.0945273631841,0.00995024875622,2.39903240689e-06,19.0,0,2.0,0,0.0298507462687,0.00497512437811,0.0248756218905,4.8867057277e-05,1.0,24.0,1.0,0,24.0,0,3.0,0,3.0,0,0,0
TheBwayLeague,golf,theatre_theater,1.0,1,0.298507462687,0.179104477612,0.119402985075,0.000586452988902,36.0,0,24.0,0,0.0995024875622,0.0298507462687,0.0696517412935,0.00172519139176,12.0,58.0,12.0,0,58.0,0,94.0,0,94.0,0,0,0
McIlroyRory,golf,theatre_theater,1.0,1,0.44776119403,0.303482587065,0.144278606965,0.00269826532399,61.0,0,29.0,0,0.233830845771,0.18407960199,0.0497512437811,0.00420811010614,179.0,54.0,179.0,0,54.0,0,73.0,2.0,73.0,0,2.0,0
FromTheTee,golf,theatre_theater,1.0,1,0.203980099502,0.10447761194,0.0995024875622,0.000125054905383,21.0,0,20.0,0,0.0398009950249,0.00995024875622,0.0298507462687,0.000168427030758,2.0,7.0,2.0,0,7.0,0,30.0,2.0,30.0,0,2.0,0
The_Masters,golf,theatre_theater,1.0,1,0.199004975124,0.179104477612,0.0199004975124,4.53686271559e-05,36.0,0,4.0,0,0.0348258706468,0.0298507462687,0.00497512437811,1.17882491939e-05,9.0,7.0,9.0,0,7.0,0,1.0,0,1.0,0,0,0
JasonSobelGC,golf,theatre_theater,1.0,1,0.681592039801,0.273631840796,0.407960199005,0.00422436125713,55.0,0,82.0,0,0.149253731343,0.109452736318,0.0398009950249,0.00148020178076,65.0,11.0,65.0,0,11.0,0,97.0,16.0,97.0,0,16.0,0
WestwoodLee,golf,theatre_theater,1.0,1,0.36815920398,0.293532338308,0.0746268656716,0.0012693204005,59.0,0,15.0,0,0.248756218905,0.18407960199,0.0646766169154,0.00346362022475,160.0,62.0,160.0,0,62.0,0,69.0,19.0,69.0,0,19.0,0
The_Globe,golf,theatre_theater,1.0,1,0.417910447761,0.213930348259,0.203980099502,0.00690309400738,43.0,0,41.0,0,0.0945273631841,0.0696517412935,0.0248756218905,0.00679802809634,49.0,9.0,49.0,0,9.0,0,2.0,3.0,2.0,0,3.0,0
WEUnderstudies,golf,theatre_theater,1.0,1,0.0945273631841,0.0597014925373,0.0348258706468,3.71378128281e-05,12.0,0,7.0,0,0.0298507462687,0.00497512437811,0.0248756218905,0.000271080494961,2.0,59.0,2.0,0,59.0,0,0,0,0,0,0,0
RickieFowlerPGA,golf,theatre_theater,1.0,1,0.681592039801,0.353233830846,0.328358208955,0.0128750178217,71.0,0,66.0,0,0.36815920398,0.238805970149,0.129353233831,0.0139417036033,297.0,75.0,297.0,0,75.0,0,94.0,71.0,94.0,0,71.0,0
bencranegolf,golf,theatre_theater,1.0,1,0.238805970149,0.208955223881,0.0298507462687,2.89649642409e-05,42.0,0,6.0,0,0.0746268656716,0.0597014925373,0.0149253731343,9.06435288896e-05,31.0,3.0,31.0,0,3.0,0,31.0,10.0,31.0,0,10.0,0
TricycleTheatre,golf,theatre_theater,1.0,1,0.437810945274,0.199004975124,0.238805970149,0.00389098992487,40.0,0,48.0,0,0.129353233831,0.0646766169154,0.0646766169154,0.0133532737916,19.0,18.0,19.0,0,18.0,0,4.0,8.0,4.0,0,8.0,0
CallawayGolf,golf,theatre_theater,1.0,1,0.233830845771,0.129353233831,0.10447761194,0.000725301203978,26.0,0,21.0,0,0.0497512437811,0.0298507462687,0.0199004975124,0.000669755452431,18.0,5.0,18.0,0,5.0,0,14.0,68.0,14.0,0,68.0,0
geoffogilvy,golf,theatre_theater,1.0,1,0.47263681592,0.313432835821,0.1592039801,0.00252115487215,63.0,0,32.0,0,0.169154228856,0.109452736318,0.0597014925373,0.00220915598552,37.0,28.0,37.0,0,28.0,0,17.0,3.0,17.0,0,3.0,0
TheRSC,golf,theatre_theater,1.0,1,0.378109452736,0.243781094527,0.134328358209,0.00484873462353,49.0,0,27.0,0,0.0945273631841,0.0845771144279,0.00995024875622,0.00176266746669,40.0,5.0,40.0,0,5.0,0,12.0,9.0,12.0,0,9.0,0
montgomeriefdn,golf,theatre_theater,1.0,1,0.199004975124,0.129353233831,0.0696517412935,0.000237806602313,26.0,0,14.0,0,0.0398009950249,0.00995024875622,0.0298507462687,0.000237312897651,2.0,6.0,2.0,0,6.0,0,8.0,4.0,8.0,0,4.0,0
