Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
peeweeherman,tvshows_drama_hollywood,241,tvshows_drama_hollywood,241,1,"tvshows_drama_hollywood,241"
eonline,tvshows_drama_hollywood,12,tvshows_drama_hollywood,12,1,"tvshows_drama_hollywood,12"
funnyordie,tvshows_drama_hollywood,367,tvshows_drama_hollywood,367,1,"tvshows_drama_hollywood,367"
coldplay,tvshows_drama_hollywood,270,tvshows_drama_hollywood,270,1,"tvshows_drama_hollywood,270"
victoriabeckham,tvshows_drama_hollywood,95,tvshows_drama_hollywood,95,1,"tvshows_drama_hollywood,95"
oliviamunn,tvshows_drama_hollywood,389,tvshows_drama_hollywood,389,1,"tvshows_drama_hollywood,389"
sethmeyers21,tvshows_drama_hollywood,245,tvshows_drama_hollywood,245,1,"tvshows_drama_hollywood,245"
e_FashionPolice,tvshows_drama_hollywood,471,tvshows_drama_hollywood,471,1,"tvshows_drama_hollywood,471"
ddlovato,tvshows_drama_hollywood,33,tvshows_drama_hollywood,33,1,"tvshows_drama_hollywood,33"
rosemcgowan,tvshows_drama_hollywood,229,tvshows_drama_hollywood,229,1,"tvshows_drama_hollywood,229"
JerrySeinfeld,tvshows_drama_hollywood,276,tvshows_drama_hollywood,276,1,"tvshows_drama_hollywood,276"
TMZ_FANS,tvshows_drama_hollywood,313,tvshows_drama_hollywood,313,1,"tvshows_drama_hollywood,313"
pattonoswalt,tvshows_drama_hollywood,462,tvshows_drama_hollywood,462,1,"tvshows_drama_hollywood,462"
gleeks,tvshows_drama_hollywood,420,tvshows_drama_hollywood,420,1,"tvshows_drama_hollywood,420"
MGM_Studios,tvshows_drama_hollywood,378,tvshows_drama_hollywood,378,1,"tvshows_drama_hollywood,378"
MariahCarey,tvshows_drama_hollywood,44,tvshows_drama_hollywood,44,1,"tvshows_drama_hollywood,44"
JLo,tvshows_drama_hollywood,26,tvshows_drama_hollywood,26,1,"tvshows_drama_hollywood,26"
iamdiddy,tvshows_drama_hollywood,285,tvshows_drama_hollywood,285,1,"tvshows_drama_hollywood,285"
ActuallyNPH,tvshows_drama_hollywood,3,tvshows_drama_hollywood,3,1,"tvshows_drama_hollywood,3"
