archaeologymag,archaeology,1,3
ArchaeologyDN,archaeology,2,3
archaeologynews,archaeology,3,3
NEAarchaeology,archaeology,4,3
CurrentArchaeo,archaeology,5,2
Archaeology_Net,archaeology,6,2
archaeology,archaeology,7,1
wessexarch,archaeology,8,1
w_archaeology,archaeology,9,1
ArchaeoBox,archaeology,10,2
ArchaeologyUK,archaeology,11,1
AntiquiTweet,archaeology,12,2
archaeothunk,archaeology,13,1
Routledge_Arch,archaeology,14,1
lparchaeology,archaeology,15,1
diggingthedirt,archaeology,16,1
BibArch,archaeology,17,2
ArchaeologyTime,archaeology,18,1
Archaemedia,archaeology,19,1
Archaeorama,archaeology,20,1
Bennu,archaeology,21,2
AncientDigger,archaeology,22,3
PresentThePast,archaeology,24,1
jntribolo,archaeology,25,2
ArchaeoTweets,archaeology,26,1
kelseymuseum,archaeology,27,1
archaeology_aia,archaeology,28,1
mikeheyworth,archaeology,29,1
Archaeologydude,archaeology,30,1
mooregroup,archaeology,31,1
archaeologist,archaeology,32,2
portableant,archaeology,33,1
ArchaeoNewsNet,archaeology,34,1
Pastpreservers,archaeology,35,1
MAC_Archaeology,archaeology,37,1
HeritageKey,archaeology,38,1
adrianmurdoch,archaeology,39,2
DianeARees,archaeology,40,1
Standing_Stones,archaeology,41,1
GrandPre2009,archaeology,42,1
MummysWrap,archaeology,43,1
InstituteArch,archaeology,44,1
arch_review_cam,archaeology,45,1
rogueclassicist,archaeology,46,1
archaeologywkas,archaeology,47,1
Pottedhistory,archaeology,48,1
britarch,archaeology,49,1
VOTPnews,archaeology,50,2
wikiarc,archaeology,51,1
History_Hunters,archaeology,52,2
cortsims,archaeology,53,1
digipast,archaeology,54,1
IA_NICH,archaeology,55,1
pittsmike,archaeology,56,1
PastHorizons,archaeology,57,1
ForensicArchae,archaeology,58,1
girlwithtrowel,archaeology,59,1
t_archaeology,archaeology,60,1
BloggingPompeii,archaeology,61,1
GirlArchaeo,archaeology,62,1
EHArchaeology,archaeology,63,1
brockter,archaeology,64,2
capmsu,archaeology,65,1
elginism,archaeology,66,1
archeology101,archaeology,67,2
iskra_kultur,archaeology,68,1
AmericanArchaeo,archaeology,70,1
ArchaeoPub,archaeology,71,1
gabiiproject,archaeology,72,1
Ecomuseum,archaeology,73,1
HeritageAction,archaeology,74,1
Alamannenmuseum,archaeology,76,1
ZahiHawass,archaeology,77,1
c_katsari,archaeology,78,2
BAJRjobs,archaeology,79,1
archaeologyshop,archaeology,80,1
carfkingston,archaeology,81,1
pauljcripps,archaeology,82,1
AD79,archaeology,83,1
archfieldwork,archaeology,84,1
Stonehengeinfo,archaeology,85,2
iowaarchaeology,archaeology,86,1
archaeogeek,archaeology,87,1
qmackie,archaeology,88,1
archaeannie,archaeology,90,1
diomc2,archaeology,91,1
PaulBelford,archaeology,92,1
SHA_org,archaeology,93,1
ShovelBums,archaeology,94,1
IshtarsGate,archaeology,95,1
MickMorrison,archaeology,97,1
SAAorg,archaeology,98,1
ADS_Update,archaeology,99,1
ArchProf,archaeology,100,1
pennmuseum,archaeology,101,1
ManeyArchaeo,archaeology,102,1
YorksArch,archaeology,103,1
cornwallarch,archaeology,104,1
NPSArcheology,archaeology,105,1
lynnegoldstein,archaeology,106,1
MarlonBP,archaeology,107,1
java,java,1,2
joshbloch,java,2,1
JavaPerformance,java,3,1
crazybob,java,4,1
emmanuelbernard,java,5,1
JBossNews,java,6,1
4java,java,7,1
AdamBien,java,8,1
OpenJDK,java,9,1
agoncal,java,10,1
springrod,java,11,1
springsource,java,12,1
mreinhold,java,13,1
arungupta,java,14,1
mraible,java,15,1
javafx4you,java,16,1
glaforge,java,17,1
glassfish,java,18,1
JavaOneConf,java,19,1
javacert,java,20,1
gafter,java,21,1
javaposse,java,22,1
puredanger,java,23,1
vogella,java,24,1
netbeans,java,25,1
jstrachan,java,26,1
wakaleo,java,27,1
cbeust,java,28,1
aheritier,java,29,1
cquinn,java,31,1
DZone,java,32,2
dickwall,java,33,1
playframework,java,34,1
nmartignole,java,35,1
DidierGirard,java,36,1
alexismp,java,37,1
BrianGoetz,java,38,1
Devoxx,java,39,1
JavaFXpert,java,40,1
jvanzyl,java,41,1
jodastephen,java,42,1
grailsframework,java,43,1
jboner,java,44,1
dhanji,java,45,1
TheASF,java,46,3
sunmicrosystems,java,47,1
intellijidea,java,48,1
kohsukekawa,java,49,1
MathildeLemee,java,50,1
adriancolyer,java,51,1
JavaTune,java,52,1
robilad,java,53,1
Stephan007,java,54,1
lescastcodeurs,java,55,1
alblue,java,56,1
javarebel,java,57,1
codemonkeyism,java,58,1
PaulSandoz,java,59,1
jessewilson,java,60,1
tornorbye,java,61,1
vmassol,java,62,1
mariofusco,java,63,1
JAXenter,java,64,1
joshmarinacci,java,65,1
app_engine,java,66,2
ZenikaIT,java,68,1
