Skiingmag,skiing,1,1
PowderMagazine,skiing,2,1
Freeskier,skiing,3,1
TetonGravity,skiing,4,1
lindseyvonn,skiing,5,1
SteepSkiing,skiing,6,1
usskiteam,skiing,7,1
breckenridgemtn,skiing,8,1
ESPN_Ski,skiing,9,1
MikeDski,skiing,10,1
vailmtn,skiing,11,1
skimagonline,skiing,12,1
JuliaMancuso,skiing,13,1
WhistlerBlckcmb,skiing,14,1
TannerHall,skiing,15,1
ColoradoSkiUSA,skiing,16,1
TheSkiChannel,skiing,17,1
jhski,skiing,18,1
AspenSnowmass,skiing,19,1
jonnymoseley,skiing,20,1
redbullski,skiing,21,1
snowdotcom,skiing,22,1
K2skis,skiing,23,1
Newschoolers,skiing,24,1
sethmorrison1,skiing,25,1
SimonDumont06,skiing,26,1
armadaskis,skiing,27,1
beavercreekmtn,skiing,28,1
SammyCskiing,skiing,29,1
SugarloafMaine,skiing,30,1
PCski,skiing,31,1
ingridbackstrom,skiing,32,1
tedligety,skiing,33,1
lineskis,skiing,34,1
denversnowdude,skiing,35,1
SkiCoupons,skiing,36,1
ski_news,skiing,37,1
sarah_j_burke,skiing,38,1
SnowbirdSki,skiing,39,1
JonOlsson,skiing,40,1
Liftopia,skiing,41,1
KillingtonMtn,skiing,42,1
OnTheSnow,skiing,43,1
Skicom,skiing,44,1
volklskis,skiing,45,1
KeystoneMtn,skiing,46,1
WarrenMillerEnt,skiing,47,1
salomonfreeski,skiing,48,1
Arapahoe_Basin,skiing,49,1
CopperMtn,skiing,50,1
SkieGuide,skiing,51,1
MyshellParker,skiing,52,1
SkiRacingMag,skiing,53,1
JoeSkiBum,skiing,54,1
RahlvesBanzai,skiing,55,1
MammothMountain,skiing,56,1
welove2ski,skiing,57,1
sundayriver,skiing,58,1
akselsvindal,skiing,59,1
mtbachelor,skiing,60,1
MomentSkis,skiing,61,1
Backcountryski,skiing,62,1
WinterPark,skiing,63,1
skicrestedbutte,skiing,64,1
powderhounds1,skiing,65,1
SkiingExaminer,skiing,66,1
skiheavenly,skiing,67,1
Bobby_Brown1,skiing,68,1
tjschiller,skiing,69,1
TheCanyons,skiing,70,1
mspfilms,skiing,71,1
GRETEGIRL,skiing,72,1
planetski,skiing,73,1
Poorboyzlive,skiing,74,1
skiwildcat,skiing,75,1
Ski_Net,skiing,76,1
skisolitude,skiing,77,1
FirstTracksMag,skiing,78,1
siasnowsports,skiing,79,1
RickysRidge,skiing,80,1
mikeslone,skiing,81,1
skialpine,skiing,82,1
Snow_Skiing,skiing,83,1
VailResortsNEWS,skiing,84,1
SkiTiger,skiing,85,1
colbyjameswest,skiing,86,1
Smugglers_Notch,skiing,87,1
skibargains,skiing,88,1
