Project,Name,Member_count,Competing_Lists,Shared_Language,Shared_Language_Ratio,FF_Nodes,AT_Nodes,RT_Nodes,FF_Edges,AT_Edges,RT_Edges,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,career_employment,12036,105,1171,0.163822048,101,101,101,6713,2747,836,0.664653465,2.661188119,1.298613861,1.667491239,0.830592859,0.63356132,0.794919786,0.372813593,0.741348425,0.447336691,0.401683168,4057
584,ceo,7534,146,1621,0.037049735,101,101,101,1915,433,149,0.18960396,0.180891089,1.850340136,2.30212766,0.577098764,0.2762962,0.46743295,0.212885154,0.371385454,0.222637661,0.03009901,304
584,charity_philanthropy,12034,145,2281,1.203693931,101,101,101,3279,1250,431,0.324653465,0.660594059,1.677920792,2.373118945,0.676259843,0.500737445,0.53511236,0.296680498,0.467085157,0.326038109,0.14990099,1514
584,chemistry,1568,108,5908,2.128242075,101,101,101,2682,487,541,0.265544554,0.246831683,1.684851485,1.93968254,0.667102347,0.510321708,0.424322889,0.341597796,0.420701623,0.307986244,0.264554455,2672
584,children,5024,125,7523,0.113202721,101,101,101,803,135,72,0.07950495,0.06,2.338339438,1.952570922,0.505867188,0.348748474,0.602794411,0.336633663,0.384363219,0.298360656,0.022871287,231
584,cinema,11872,111,7989,0.938557331,101,101,101,2447,703,479,0.242277228,0.327920792,1.96019802,2.633915422,0.605631436,0.324965538,0.375491849,0.169717138,0.393419791,0.157769501,0.262673267,2653
584,climatechange,798,139,13,0.565217391,101,101,101,2497,532,269,0.247227723,0.255346535,1.825190682,2.098947609,0.59424266,0.359982159,0.460233918,0.151515152,0.435640498,0.276074841,0.103564356,1046
584,climbing,2410,110,10386,1.828521127,101,101,101,4089,1430,629,0.404851485,1.140792079,1.553465347,1.92467915,0.751559917,0.469834406,0.474576271,0.388349515,0.528660001,0.364069691,0.197722772,1997
584,college,10191,129,19747,0.319143434,101,101,101,2173,692,418,0.215148515,0.366831683,1.988080808,2.995555556,0.701119514,0.470999242,0.447701532,0.303201507,0.423653526,0.262541118,0.132277228,1336
584,comedy_funny,36694,171,1625,0.029792461,101,101,101,2903,1754,540,0.287425743,0.801980198,1.637070707,1.984949495,0.626274822,0.494127797,0.45004995,0.430668842,0.435070377,0.354609252,0.122376238,1236
584,comics,15030,110,7237,1.27054073,101,101,101,2142,1918,983,0.212079208,2.199306931,1.788217822,2.339504951,0.639682329,0.571394402,0.484407484,0.5455278,0.439654327,0.464646697,0.401386139,4054
584,composer,3607,101,1374,0.607964602,101,101,101,3528,1825,576,0.349306931,1.795742574,1.661111111,1.866161616,0.668113752,0.580670243,0.557615894,0.504534213,0.486961278,0.452552187,0.13049505,1318
