Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,accounting,3133,101,101,101,0.474059405941,0.34900990099,1.48930693069,2.08215206186,0.740456793977,0.3636012417,0.635245901639,0.261695906433,0.571809753682,0.245007132668,0.314554455446,3177.0
584,advertising,32156,101,101,101,0.383465346535,0.219801980198,1.58534653465,2.10925582354,0.718180879465,0.360530448491,0.498839009288,0.203636363636,0.476552299612,0.156940509915,0.232079207921,2344.0
584,agriculture,4215,101,101,101,0.543168316832,0.561683168317,1.45217821782,1.96265516516,0.800932423379,0.419222934609,0.633710541989,0.260962566845,0.646695585054,0.362054256953,0.204257425743,2063.0
584,airlines_aviation,7341,101,101,101,0.278613861386,0.208811881188,1.60353535354,1.98263534219,0.733162065212,0.401949832712,0.477941176471,0.206650831354,0.426561583578,0.177000819448,0.182178217822,1840.0
584,animation,4857,101,101,101,0.210297029703,0.262673267327,1.91673267327,2.20210224558,0.562191213915,0.271506147159,0.294332723949,0.3375,0.299581307401,0.281349346521,0.123663366337,1249.0
584,anime,13236,101,101,101,0.269900990099,0.950891089109,1.58404040404,1.98467852257,0.632019876555,0.429696320198,0.489617486339,0.277922077922,0.466899434134,0.361800894855,0.265940594059,2686.0
584,anthropology,1300,101,101,101,0.393069306931,0.368811881188,1.51099009901,2.13135964912,0.697578271823,0.390143388652,0.556862745098,0.393343419062,0.496765211694,0.259444231015,0.279504950495,2823.0
584,archaeology,1878,101,101,101,0.44,0.216534653465,1.46594059406,1.91065456283,0.744039675491,0.279294076021,0.512593601089,0.289817232376,0.514818200361,0.181662675334,0.186435643564,1883.0
584,architecture,14084,101,101,101,0.405742574257,0.211881188119,1.55316831683,2.17613370734,0.733775593154,0.285504851405,0.433368310598,0.174208144796,0.490074341793,0.184915320993,0.213861386139,2160.0
584,army_military_veteran,9451,101,101,101,0.494752475248,0.363564356436,1.48910891089,2.10376237624,0.794861085087,0.431256669612,0.546101485149,0.161928306551,0.577079697499,0.19109893518,0.388514851485,3924.0
