Project,Community,Person_ID,Place_on_list,Shared_Language,Other_language,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,accounting,KurtThompsonCPA,44,1,0,1.02,0.34,0.68,34,68,0.757575758,0.00666634,0.457142857,0.12,0.03,0.09,0.443820755,0.001952433,0.2,2.166666667,8,18,0,0.021978022,0,3,0,3
584,accounting,AICPANews,5,132,0,1.81,0.87,0.94,87,94,0.943396226,0.01960617,0.865979381,0.42,0.25,0.17,0.421928251,0.00948621,0.166666667,2.952380952,75,49,0.318681319,0.021978022,292,2,292,2
584,accounting,GubinskyCPA,48,60,0,1.31,0.58,0.73,58,73,0.787401575,0.011764075,0.617283951,0.56,0.21,0.35,0.577239264,0.007417981,0.365853659,4.892857143,71,203,0.153846154,0.010989011,31,1,32,1
584,accounting,CPA_Trendlines,1,243,0,1.36,0.82,0.54,82,54,0.684931507,0.019246581,0.619047619,0.67,0.54,0.13,0.45897561,0.045926504,0.155172414,10.49253731,598,105,0.142857143,0.406593407,45,103,46,115
584,accounting,FICPA,20,114,0,1.26,0.6,0.66,60,66,0.746268657,0.012356713,0.8,0.48,0.31,0.17,0.482512821,0.012557196,0.263157895,2.770833333,96,37,0.131868132,0.307692308,57,69,57,72
584,accounting,bftcpa,16,57,0,1.33,0.62,0.71,62,71,0.775193798,0.012103878,0.683544304,0.48,0.23,0.25,0.505860215,0.009830694,0.411764706,3.770833333,69,112,0.142857143,0.175824176,19,25,19,40
584,accounting,tomhood,37,50,0,1.61,0.76,0.85,76,85,0.869565217,0.015926786,0.788888889,0.69,0.4,0.29,0.528595506,0.03723695,0.533333333,9.333333333,298,346,0.197802198,0.373626374,84,201,86,261
584,accounting,TrailheadCPA,29,25,0,0.92,0.37,0.55,37,55,0.689655172,0.007115797,0.672727273,0.38,0.12,0.26,0.543872832,0.006570154,0.461538462,7.315789474,78,200,0.076923077,0.043956044,9,7,9,8
584,accounting,cpelink,30,67,0,1.45,0.59,0.86,59,86,0.877192982,0.019857925,0.686046512,0.41,0.14,0.27,0.528595506,0.005791794,0.518518519,3.097560976,29,98,0.043956044,0.318681319,5,91,5,93
584,accounting,wendroffcpa,33,26,0,0.86,0.54,0.32,54,32,0.595238095,0.010335936,0.50877193,0.12,0.05,0.07,0.429634703,0.0022566,0.333333333,2.166666667,10,16,0.043956044,0,6,0,6,3
584,accounting,CathyIconis,47,37,0,0.45,0.43,0.02,43,2,0.4784689,0.008350516,0.046511628,0.33,0.23,0.1,0.43359447,0.011465535,0.269230769,3.454545455,90,24,0.065934066,0.076923077,6,7,6,29
584,accounting,IFRSAdvantage,24,49,0,0.88,0.44,0.44,44,44,0.641025641,0.008628322,1,0.06,0.02,0.04,0.37636,0.002065312,0.2,2.666666667,12,4,0.043956044,0,6,0,6,0
584,accounting,TheTaxCPA,21,17,0,1.28,0.63,0.65,63,65,0.740740741,0.012422362,0.684210526,0.4,0.11,0.29,0.537657143,0.003212236,0.212121212,2.375,21,74,0.032967033,0,3,0,3,0
584,accounting,DanielStoicaTax,85,31,0,0.69,0.38,0.31,38,31,0.591715976,0.007584431,0.815789474,0.3,0.2,0.1,0.445924171,0.016664589,0.25,10.2,204,102,0,0.186813187,0,30,0,37
584,accounting,CLT_CPA,38,37,0,1.06,0.56,0.5,56,50,0.666666667,0.014188843,0.827586207,0.48,0.19,0.29,0.553470588,0.011160703,0.548387097,10.47916667,260,243,0.076923077,0.043956044,17,4,17,4
584,accounting,MichelleLongCPA,12,58,0,1.03,0.54,0.49,54,49,0.662251656,0.010505252,0.68852459,0.3,0.17,0.13,0.47281407,0.007280097,0.5,2.6,47,31,0.087912088,0.010989011,11,1,11,1
584,accounting,OregonCPAsNews,59,181,0,0.77,0.46,0.31,46,31,0.591715976,0.010078222,0.571428571,0.28,0.16,0.12,0.421928251,0.010258871,0.12,2.285714286,41,23,0.087912088,0.307692308,18,568,18,577
584,accounting,jamesuccpa,84,7,0,0.61,0.28,0.33,28,33,0.598802395,0.006210578,0.564102564,0.21,0.14,0.07,0.439672897,0.004196566,0.235294118,4.952380952,81,23,0.054945055,0.043956044,6,8,6,19
584,accounting,nysscpa,88,57,0,0.75,0.48,0.27,48,27,0.578034682,0.010436498,0.442307692,0.27,0.16,0.11,0.412675439,0.004288573,0.173913043,1.62962963,26,18,0.10989011,0.043956044,24,5,25,24
584,accounting,cpapracadvisor,17,56,0,0.98,0.65,0.33,65,33,0.598802395,0.012979471,0.441176471,0.22,0.12,0.1,0.439672897,0.018267269,0.466666667,6.363636364,106,34,0.120879121,0.065934066,45,10,45,10
584,accounting,phoenixcpa,79,5,0,0.38,0.26,0.12,26,12,0.531914894,0.005491907,0.310344828,0.14,0.05,0.09,0.448047619,0.002126764,0.272727273,2.428571429,14,20,0.010989011,0,2,0,2,0
584,accounting,NJSCPA,97,213,0,1.04,0.5,0.54,50,54,0.684931507,0.010521326,0.677419355,0.44,0.17,0.27,0.505860215,0.006660272,0.333333333,5.295454545,35,198,0.197802198,0.263736264,64,49,64,51
584,accounting,OklahomaCPAs,64,53,0,0.92,0.52,0.4,52,40,0.625,0.011272155,0.703703704,0.27,0.12,0.15,0.468109453,0.003492232,0.227272727,3.296296296,53,36,0.054945055,0.087912088,13,11,13,11
584,accounting,PeakAccounting,35,3,0,0.73,0.41,0.32,41,32,0.595238095,0.007835666,0.697674419,0.03,0.03,0,0,0.002011686,0,1.333333333,4,0,0.010989011,0,4,0,7,0
584,accounting,OSCPA,60,205,0,1.05,0.55,0.5,55,50,0.666666667,0.011206007,0.590909091,0.39,0.22,0.17,0.445924171,0.007028399,0.444444444,2.820512821,81,29,0.208791209,0.10989011,55,23,55,23
584,accounting,TheCPAsDog,100,1,0,0.38,0.18,0.2,18,20,0.555555556,0.00442279,0.80952381,0.04,0.01,0.03,0.410873362,0.00171705,0.333333333,1.25,1,4,0.010989011,0,8,0,9,0
584,accounting,GinaBookkeeping,51,2,0,0.85,0.29,0.56,29,56,0.694444444,0.006139078,0.517857143,0.02,0,0.02,0.340567376,0.00168599,0,1.5,0,3,0,0.010989011,0,1,0,2
