CornelWest,humanrights_activism_justice,22,36743910
CFOCoach,branding,24,14398964
Luxegen,genealogy,54,18213557
EnterpriseNow,housing,54,17066312
plantweb,gardening,63,25825071
jay_jaffe,baseball,67,80957405
billkunz,ipad,83,7163682
Merck,pharma,87,35961145
sobonwine,wine,106,34343682
StopMotionWorld,animation,77,108228589
revistacinetica,cinema,23,56723287
frankisibberson,literacy,78,17584393
Bloggeries,blogs,96,14463104
BrinsJohn,investor,85,43088665
johnhawks,anthropology,98,52584039
IndexVentures,investor,65,19720395
ashleyloweCO,publicrelations,102,17499059
mreinhold,java,13,14299819
ClimateReality,climatechange,5,16958346
BNPPARIBASOPEN,tennis,38,30017071
Shaun_White,skateboarding,16,16801904
Fuzzygalore,motorcycle,50,11782092
smushyhippo,baking,89,15047078
Cinematecabr,cinema,45,57361997
BobWeisenberg,yoga,16,55935900
DogsTrust,charity_philanthropy,61,14332297
akrabat,php,18,9244712
PlanetQuest,astronomy_physics,49,15032736
bbcirishrugby,rugby,94,16558182
dazeofadventure,homeschool_school,24,18574264
smtmsports,gambling,83,55242061
lovephilosophy,philosophy,76,21823427
pregn,pregnancy,46,66260681
laracasey,wedding,40,14706837
VirginAtlantic,airlines_aviation,8,20626359
RollingStone,magazine,20,14780915
MCIns,insurance,56,18360225
campingblogger,outdoors_hiking,15,16610527
stsupery,wine,27,17468725
Bigangler,fishing,56,14932946
LeahKardos,composer,66,90850162
peglarr,storage,56,61274750
yournutrition,nutrition,82,36902944
RooftopFilms,filmfestival,73,14745823
UCF_Nursing,nursing,90,39266756
CoachTomFerry,realestate,14,21119759
BenVitale,mathematics,87,45960281
Burger_Lounge,restaurant_dining,62,18360994
h101,horror,19,20096001
dearauthor,romance,57,54206707
RepHankJohnson,democrat,69,24745957
Joelsherman1,baseball,18,41591898
billabong1973,surfing,3,18783973
FishWithDan,fishing,38,80601437
alexsotirov,hacking,114,15371224
BCCare,cancer,27,26308916
MicroBytes,biology,3,14309674
NursingCenters,nursing,81,55592470
Chicksclimbing,climbing,16,30314992
LearnFromNature,nature,87,66821161
geognews,geography,44,20517371
CalleZorro,marriage,85,14869360
onibo,chemistry,99,76061957
greensummit,astrology,73,17882023
dickwall,java,33,788835
lionsgatemovies,cinema,79,20727819
yogarevelation,yoga,19,61192684
Kidlutions,parenting,40,56871717
scottEweinberg,horror,63,19078594
buzz,ipad,92,528
jan_morgan,sustainability_ecology,126,19685990
MotheringMag,parenting,22,16426177
VentureBeat,tech,137,60642052
bikeradar,cycling,49,17138369
SkiingExaminer,skiing,66,22321539
TimWellsBowHunt,hunting,78,62878623
Romain_Dabre,chemistry,87,70651172
marifinilham,islam,77,182359128
SailingUpdates,sailing,2,37478092
timkastelle,innovation,7,15440344
Venuseswilliams,tennis,14,50725573
genesreunited,genealogy,83,108322472
MariusUrsache,branding,70,15978581
HFDigest,healthcare_medicine,99,38255722
mubbashir,management,57,7854192
Harvard_Press,university,53,14792079
Buccigross,hockey,78,43641364
taxgirl,lawyer_legal,7,14079852
DocFestivals,documentary,1,81428480
jeffschroeder23,realitytv,39,78184379
ORDems,democrat,104,22650582
sarahganly,baking,121,96056407
TennisReporters,tennis,22,46571111
FlyingYogini,yoga,25,36535423
CharlotteCPA,accounting,72,18805648
nancydonaldson,multimedia,76,16893971
ohiobuddhist,buddhism,111,56397007
DawnMHSH,homeschool_school,67,15329493
shinedrumco,drums,41,44949351
comedymagician,magician,67,15868998
PhilLiggett,cycling,12,19760439
SoulfulParent,parenting,67,72353797
Historyday,history,5,56237214
insideclimate,climatechange,98,14050550
trent_reznor,musician_singer,21,15901190
_Geography_,geography,29,91953289
PhyllisShabad,branding,50,18063711
ACTtheatre,theatre_theater,83,25364921
dnene,database,94,12526082
guitardetails,guitar,48,29348487
thebrianposehn,comedy_funny,34,38611183
make,hacking,29,1118451
andy_murray,tennis,3,14123683
fivethirtyeight,politics_news,88,16017475
TropicalTrack,weather,15,36758111
dennistobenski,composer,37,20702440
ErikaMoen,comics,58,15706128
OptionRadar,trading,28,23342113
IAmTravisPorter,rapper,100,30844979
geog_visuals,geography,55,33858763
WDCGardener,gardening,51,39328119
Ethnography61,anthropology,69,30723767
workengagement,management,65,46667187
PaulMcCartney,musician_singer,67,74712538
pianoaddictblog,piano,83,177469010
Yamnuska_Mt_Adv,climbing,102,60686901
yougottaprice,wrestling,101,39547342
progressenergy,energy,99,23451241
Nattha_ThaiPBS,reporter,25,60024721
shugairi,islam,95,175883705
ficoba,banking,49,19187698
OpenEnergyInfo,energy,55,55265358
sethgitner,multimedia,28,4615851
davidortiz,baseball,55,28153561
ChronicleBooks,publishing_literature,20,14217286
London_Law_Firm,lawyer_legal,9,23200135
greenpeacemx,peace,39,98707290
Dezeen,architecture,8,26012202
greentechmedia,energy,27,16826617
Dan_Passarelli,trading,85,39371002
peggyanne,mobile_smartphone,94,14547107
timyoung,ceo,46,1724401
SultanofStat,fantasy,23,35385104
CancerCare,cancer,76,32132651
MilitaryAvenue,army_military_veteran,17,23814011
Screenwriter12,screenwriter,53,52997724
Amy_Ippoliti,yoga,102,36198442
andigutmans,php,14,14309129
MissedinHistory,history,81,101797894
religionblogger,religion,64,17416249
Weddzilla,wedding,31,36150678
MaxineWaters,democrat,53,36686040
KudosKitchen,baking,69,21482171
PwC_LLP,accounting,84,24636272
BryanHoch,baseball,79,21492737
Lama_Rangdrol,buddhism,101,15708484
phusion_nl,ruby,62,14238462
johnhollinger,basketball,49,41366372
Bucks,basketball,78,15900167
IntegralYoga,yoga,38,36002366
BenBadler,baseball,49,20289970
eRocketFuel,ceo,63,21367818
JoeLieberman,democrat,76,84129740
ClimateLab,climatechange,88,35530322
christianhosoi,skateboarding,65,18622278
nosqlupdate,database,35,70153432
thetennistimes,tennis,96,20139348
HIFF,filmfestival,16,15746009
Cameronvdburgh,swimming,43,27955325
runmeb,running,8,69002830
BuddhaChest,buddhism,102,54349218
welovesfootball,theatre_theater,89,24682444
WindPowerSystem,energy,31,27503114
johncusack,tvshows_drama_actor_hollywood,38,17017636
BrokeAssBride,wedding,12,17822186
101Cookbooks,recipes_cooking,11,24737795
LouboutinWorld,beauty_fashion_shopping,81,69615397
LudwigHQ,drums,34,14531565
BIASC,construction,109,18770350
Sainsha,philosophy,54,14394317
IMarEST,engineering,106,36638409
emckean,linguistics,41,5380022
NHC_Atlantic,weather,13,299798272
MessingAbout,sailing,83,31242222
KristiLeskinen,skiing,99,39373784
Chilis,restaurant_dining,25,65051962
EagleStarNet,realestate,59,21351506
rbates,ruby,3,14246143
snowmenu,skiing,95,23203776
1gamblingcasino,gambling,14,18823037
la_Biennale,cinema,88,122728088
FreeRangeKids,parenting,18,20349823
TimToady,perl,4,67722868
Footless_Crow,climbing,39,76694453
photoshoptips,photography,16,12600272
HistoryToday,history,4,15559134
WiredToHunt,hunting,8,15607538
dannygokey,realitytv,90,20727198
ridermagazine,motorcycle,39,34418791
Eye2eyemarriage,marriage,39,73792465
LouisVuitton_US,beauty_fashion_shopping,34,24047612
michaelhait,genealogy,44,19946134
FANGORIA,horror,8,123574362
jespern,python,42,14162376
CIH_events,housing,58,146793559
MusicRadar,guitar,97,20065455
alex_willis,tennis,90,39533250
lillyella,etsy_handmade,90,17525909
TheAutoGuide,automotive,92,41255981
madoka_magica,anime,49,205592115
lig,php,90,14136842
JimKitzmiller,meditation,27,17081275
neilhimself,author,1,18393773
AliNAskin,composer,65,24601789
StAnzaPoetry,poetry,44,21772084
aljones15,philosophy,90,7575612
pcworld,tech,67,6070762
e_agriculture,agriculture,9,18760893
freebridge,housing,40,38823152
CamiloVillegasR,golf,13,62130152
PerezHilton,blogs,52,19329393
michigansthumb,newspaper,113,38438076
CR_UK,cancer,28,20693661
DrLynneKenney,parenting,51,17268418
Atlanta_Falcons,sport_football,87,16347506
