Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,writing,writefly,1,0.0129628518274,0.00342075256556,0.00954209926184,57.0,159.0,27,32,0.227272727273,0.00138030366681,6.00132029046e-05,0.0013202904639,1.0,34.0,1,12,0.0,0.21,0.0,6.00132029046e-05,0,1.0
584,writing,netta50,1,0.00660145231951,0.00300066014523,0.00360079217428,50.0,60.0,27,27,0.71875,0.00138030366681,0.000180039608714,0.00120026405809,5.0,43.0,2,14,0.0952380952381,1.81,6.00132029046e-05,0.000180039608714,1.0,4.0
584,writing,NameYourTale,1,0.00540118826142,0.00180039608714,0.00360079217428,30.0,60.0,13,23,0.285714285714,0.00222048850747,6.00132029046e-05,0.00216047530457,2.0,73.0,1,18,0.0277777777778,0.868686868686,0.0,0.000120026405809,0,2.0
584,writing,martyhalpern,1,0.0106223369141,0.00462101662366,0.00600132029046,77.0,100.0,33,42,0.701923076923,0.00492108263818,0.000300066014523,0.00462101662366,12.0,185.0,5,26,0.0512820512821,4.84646464647,0.000300066014523,0.000960211246474,5.0,19.0
584,writing,ycontributor,1,0.00504110904399,0.0026405809278,0.00240052811619,44.0,40.0,30,20,0.354838709677,0.00288063373942,0.001260277261,0.00162035647843,44.0,111.0,17,21,0.0212765957447,22.2738383838,0.000240052811619,6.00132029046e-05,6.0,1.0
584,writing,AbbieMood,1,0.0139230630739,0.00492108263818,0.0090019804357,82.0,150.0,31,47,0.432098765432,0.00342075256556,0.000600132029046,0.00282062053652,26.0,96.0,8,30,0.117647058824,10.793877551,0.000120026405809,0.00198043569585,2.0,53.0
584,yoga,Yoga_Journal,3,0.00984216527636,0.00840184840665,0.00144031686971,140.0,24.0,53,14,0.058064516129,0.00294064694233,0.00174038288423,0.00120026405809,71.0,52.0,19,15,0.113636363636,25.293446712,0.000660145231951,6.00132029046e-05,14.0,1.0
584,yoga,yogadork,2,0.0304867070756,0.00834183520374,0.0221448718718,139.0,369.0,43,75,0.23600973236,0.00492108263818,0.00150033007262,0.00342075256556,83.0,104.0,13,29,0.0649350649351,25.5850505051,0.000540118826142,0.00114025085519,12.0,23.0
584,yoga,YogaNews,1,0.00420092420332,0.0025805677249,0.00162035647843,43.0,27.0,20,13,0.296296296296,0.000240052811619,6.00132029046e-05,0.000180039608714,1.0,3.0,1,3,0.0,0.13,0.000120026405809,0.0,4.0,0
584,yoga,Virtual_Yoga,2,0.0505911300486,0.0287463241913,0.0218448058573,479.0,364.0,104,95,0.734567901235,0.00438096381204,0.00120026405809,0.00318069975395,63.0,161.0,10,33,0.0735294117647,16.7214141414,0.000300066014523,0.00090019804357,5.0,54.0
584,yoga,CoraYoga,3,0.0184840664946,0.00600132029046,0.0124827462042,100.0,208.0,38,70,0.356828193833,0.00174038288423,0.000960211246474,0.00078017163776,49.0,20.0,9,7,0.0,13.313877551,0.000120026405809,0.000240052811619,2.0,4.0
584,yoga,MyYogaOnline,1,0.00948208605893,0.00498109584109,0.00450099021785,83.0,75.0,38,35,0.645833333333,0.00246054131909,0.000600132029046,0.00186040929004,56.0,93.0,7,17,0.171428571429,18.995959596,0.000600132029046,0.000180039608714,12.0,8.0
584,yoga,Gaiam,1,0.0217247794515,0.0115225349577,0.0102022444938,192.0,170.0,52,50,0.448,0.0051611354498,0.00228050171038,0.00288063373942,71.0,119.0,22,26,0.102564102564,33.503283859,0.00078017163776,0.000120026405809,20.0,2.0
584,yoga,anusarafriend,1,0.00324071295685,0.00120026405809,0.00204044889876,20.0,34.0,10,25,0.125,0.000600132029046,0.000300066014523,0.000300066014523,12.0,6.0,3,5,0.0,3.14,0.000180039608714,6.00132029046e-05,8.0,1.0
584,yoga,TaraStiles,1,0.0217847926544,0.00480105623237,0.016983736422,80.0,283.0,34,65,0.0521739130435,0.00408089779752,0.00198043569585,0.00210046210166,110.0,122.0,16,20,0.114754098361,35.5833333333,0.000480105623237,0.000840184840665,15.0,40.0
584,yoga,elephantjournal,4,0.0721958830943,0.0445297965552,0.027666086539,742.0,461.0,116,104,0.536398467433,0.0103822841025,0.00810178239213,0.00228050171038,534.0,56.0,40,27,0.0679012345679,217.051807875,0.000960211246474,6.00132029046e-05,18.0,1.0
584,yoga,lululemon,3,0.0832983256316,0.0375682650183,0.0457300606133,626.0,762.0,112,118,0.73717146433,0.00954209926184,0.00888195402989,0.000660145231951,415.0,15.0,57,6,0.06,149.822927231,0.000300066014523,0.0,7.0,0
584,yoga,yogaweb,1,0.0621136650063,0.0292864430175,0.0328272219888,488.0,547.0,108,109,0.868231046931,0.000240052811619,0.000240052811619,0.0,4.0,0,4,0,0.0,1.83,6.00132029046e-05,0.0,1.0,0
584,yoga,YogaBear,2,0.0107423633199,0.00606133349337,0.00468102982656,101.0,78.0,31,24,0.642201834862,0.00306067334814,0.00120026405809,0.00186040929004,56.0,72.0,7,18,0.186046511628,22.07,0.000420092420332,0.000420092420332,13.0,8.0
584,yoga,MandukaYoga,1,0.00846186160955,0.00318069975395,0.00528116185561,53.0,88.0,23,35,0.355769230769,0.00462101662366,0.000660145231951,0.00396087139171,32.0,120.0,7,35,0.0405405405405,6.09,0.000240052811619,0.0,6.0,0
584,yoga,BobWeisenberg,1,0.0237052151473,0.0115825481606,0.0121226669867,193.0,202.0,69,75,0.717391304348,0.000660145231951,0.000600132029046,6.00132029046e-05,60.0,3.0,6,1,0.0,21.6291197691,0.000300066014523,0.000240052811619,16.0,13.0
584,yoga,everythingyoga,1,0.0158434855668,0.0090019804357,0.00684150513113,150.0,114.0,56,47,0.736842105263,0.000360079217428,0.000360079217428,0.0,8.0,0,6,0,0.0,3.73571428571,0.000240052811619,0.0,5.0,0
584,yoga,yogarevelation,2,0.0114025085519,0.00570125427594,0.00570125427594,95.0,95.0,38,28,0.36690647482,0.000660145231951,0.000120026405809,0.000540118826142,3.0,59.0,1,8,0.1,0.58,6.00132029046e-05,0.0,1.0,0
584,yoga,KripaluCenter,1,0.00816179559503,0.0039008581888,0.00426093740623,65.0,71.0,30,38,0.172413793103,0.000480105623237,0.000300066014523,0.000180039608714,9.0,4.0,3,3,0.0,3.41,0.000300066014523,0.000300066014523,5.0,6.0
584,yoga,rodney_yee,1,0.00360079217428,0.00222048850747,0.00138030366681,37.0,23.0,19,12,0.276595744681,0.00090019804357,0.000480105623237,0.000420092420332,15.0,13.0,4,6,0.153846153846,4.3,0.000420092420332,0.000120026405809,13.0,4.0
584,yoga,IntegralYogaMag,1,0.00630138630499,0.00330072615976,0.00300066014523,55.0,50.0,23,22,0.265060240964,0.00270059413071,0.000600132029046,0.00210046210166,26.0,60.0,5,17,0.0975609756098,7.32,0.000660145231951,0.000300066014523,25.0,5.0
584,yoga,LAYOGAMAGAZINE,1,0.0417691892216,0.0052211486527,0.0365480405689,87.0,609.0,39,95,0.111821086262,0.00174038288423,0.000300066014523,0.00144031686971,7.0,33.0,5,19,0.0357142857143,2.15346938775,0.000120026405809,0.00174038288423,2.0,40.0
584,yoga,ShivaRea,1,0.0051611354498,0.00216047530457,0.00300066014523,36.0,50.0,21,29,0.535714285714,0.000360079217428,0.000360079217428,0.0,13.0,0,5,0,0.0,4.35,0.0,0.0,0,0
584,yoga,FlyingYogini,1,0.00816179559503,0.00276060733361,0.00540118826142,46.0,90.0,20,32,0.225225225225,0.00300066014523,0.000420092420332,0.0025805677249,17.0,139.0,5,28,0.136363636364,6.78060606061,0.0,0.0025805677249,0,92.0
584,yoga,YJEVENTS,1,0.00288063373942,0.00186040929004,0.00102022444938,31.0,17.0,11,12,0.142857142857,0.000300066014523,6.00132029046e-05,0.000240052811619,1.0,5.0,1,4,0.0,0.07,0.0,6.00132029046e-05,0,1.0
584,yoga,OMyoga,1,0.00246054131909,0.00150033007262,0.000960211246474,25.0,16.0,9,10,0.0789473684211,0.000180039608714,6.00132029046e-05,0.000120026405809,4.0,2.0,1,2,0.0,1.04,0.000180039608714,6.00132029046e-05,3.0,2.0
584,yoga,kathrynbudig,1,0.00954209926184,0.00288063373942,0.00666146552241,48.0,111.0,26,36,0.0890410958904,0.00270059413071,0.000540118826142,0.00216047530457,18.0,122.0,8,15,0.125,6.13840445269,0.000360079217428,0.000480105623237,6.0,20.0
584,yoga,CorePowerYoga,1,0.0204645021905,0.00690151833403,0.0135629838564,115.0,226.0,46,65,0.272388059701,0.00102022444938,0.000480105623237,0.000540118826142,14.0,9.0,8,9,0.133333333333,5.45727272727,0.0,0.0,0,0
584,yoga,yogafinds,1,0.00570125427594,0.00276060733361,0.00294064694233,46.0,49.0,20,25,0.319444444444,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
584,yoga,whollyyoga,1,0.00246054131909,0.001260277261,0.00120026405809,21.0,20.0,13,15,0.242424242424,0.00108023765228,0.000420092420332,0.000660145231951,20.0,17.0,5,9,0.125,4.29434343434,6.00132029046e-05,0.000420092420332,1.0,19.0
584,yoga,yoga_peace,1,0.00498109584109,0.00348076576847,0.00150033007262,58.0,25.0,23,16,0.185714285714,0.000300066014523,0.000240052811619,6.00132029046e-05,5.0,1.0,2,1,0.25,0.65,0.0,0.0,0,0
584,yoga,BaptisteYoga,1,0.00294064694233,0.0013202904639,0.00162035647843,22.0,27.0,14,15,0.289473684211,0.000480105623237,0.000240052811619,0.000240052811619,6.0,5.0,4,3,0.0,1.9,0.000180039608714,0.0,5.0,0
584,yoga,YogaGlo,1,0.0101422312909,0.00348076576847,0.00666146552241,58.0,111.0,32,50,0.31007751938,0.00270059413071,0.000540118826142,0.00216047530457,9.0,99.0,6,17,0.0714285714286,3.15720676149,0.000180039608714,0.0,6.0,0
